mouse_id,strain,sex,diet,bw,lean,fat,pct_fat,lifespan_days
114_29_6,ILSXISS114/TejJ,f,AL,20.799999999999997,15.9,3.965,21.1,527.0
114_29_7,ILSXISS114/TejJ,f,AL,18.9,14.0,3.96,22.0,875.0
114_29_1,ILSXISS114/TejJ,m,AL,21.8,19.9,4.59,18.8,1042.0
114_29_2,ILSXISS114/TejJ,m,AL,25.3,21.5,5.37,20.0,1044.0
114_29_3,ILSXISS114/TejJ,m,AL,22.7,16.0,4.54,22.1,1013.0
114_29_8,ILSXISS114/TejJ,m,AL,22.7,19.9,4.59,20.0,952.0
114_29_9,ILSXISS114/TejJ,m,AL,22.7,19.9,4.59,20.0,885.0
115_28_1,ILSXISS115/TejJ,f,AL,21.1,16.9,3.12,15.6,556.0
115_28_2,ILSXISS115/TejJ,f,AL,22.5,17.5,3.71,17.5,746.0
115_28_3,ILSXISS115/TejJ,f,AL,21.8,16.7,3.71,18.1,632.0
115_28_4,ILSXISS115/TejJ,f,AL,22.0,15.3,3.86,20.2,924.0
115_28_5,ILSXISS115/TejJ,f,AL,21.3,17.4,3.03,14.9,799.0
115_28_10,ILSXISS115/TejJ,m,AL,25.5,18.2,6.6,26.6,1017.0
115_28_6,ILSXISS115/TejJ,m,AL,26.8,21.7,7.75,26.3,890.0
115_28_7,ILSXISS115/TejJ,m,AL,35.6,22.6,11.9,34.5,789.0
115_28_8,ILSXISS115/TejJ,m,AL,28.3,17.3,7.32,29.7,1088.0
115_28_9,ILSXISS115/TejJ,m,AL,26.9,19.2,6.64,25.7,992.0
117_30_10,ILSXISS117,f,AL,30.9,23.4,6.39,21.5,641.0
117_30_11,ILSXISS117,f,AL,31.9,18.1,7.72,29.9,819.0
117_30_15,ILSXISS117,f,AL,25.2,17.8,5.4,23.3,824.0
117_30_8,ILSXISS117,f,AL,29.45,20.6,5.895,22.4,477.0
117_30_9,ILSXISS117,f,AL,28.0,23.1,4.49,16.3,575.0
117_30_1,ILSXISS117,m,AL,27.4,21.0,5.81,21.6,1092.0
117_30_2,ILSXISS117,m,AL,19.9,15.7,3.15,16.7,755.0
117_30_3,ILSXISS117,m,AL,21.7,17.1,4.54,21.0,893.0
117_30_4,ILSXISS117,m,AL,22.1,17.8,3.42,16.1,761.0
117_30_5,ILSXISS117,m,AL,23.0,17.1,4.96,22.5,1075.0
122_30_10,ILSXISS122/TejJ,f,AL,25.25,18.8,4.73,20.15,450.0
122_30_11,ILSXISS122/TejJ,f,AL,25.1,18.8,4.86,20.5,1010.0
122_30_12,ILSXISS122/TejJ,f,AL,25.4,18.8,4.4,19.0,1074.0
122_30_8,ILSXISS122/TejJ,f,AL,27.6,19.4,6.52,25.1,701.0
122_30_9,ILSXISS122/TejJ,f,AL,24.5,18.6,4.6,19.8,1155.0
122_30_13,ILSXISS122/TejJ,m,AL,29.8,24.8,3.21,11.5,956.0
122_30_14,ILSXISS122/TejJ,m,AL,27.9,23.2,2.63,10.2,767.0
122_30_5,ILSXISS122/TejJ,m,AL,28.3,20.9,2.66,11.3,843.0
122_30_6,ILSXISS122/TejJ,m,AL,28.3,21.9,2.6,10.6,859.0
122_30_7,ILSXISS122/TejJ,m,AL,26.7,22.8,2.93,11.4,959.0
123_30_3,ILSXISS123/TejJ,f,AL,24.4,17.9,3.96,18.1,1012.0
123_30_4,ILSXISS123/TejJ,f,AL,26.8,19.1,4.72,19.8,938.0
123_30_5,ILSXISS123/TejJ,f,AL,24.8,19.4,4.07,17.4,983.0
123_30_6,ILSXISS123/TejJ,f,AL,24.3,19.5,2.54,11.6,962.0
123_30_7,ILSXISS123/TejJ,f,AL,27.8,18.0,6.73,27.2,716.0
123_30_1,ILSXISS123/TejJ,m,AL,30.7,22.7,5.76,20.2,915.0
123_30_10,ILSXISS123/TejJ,m,AL,29.6,22.5,4.34,16.1,1049.0
123_30_2,ILSXISS123/TejJ,m,AL,32.0,23.4,6.78,22.5,1016.0
123_30_8,ILSXISS123/TejJ,m,AL,32.5,24.4,5.62,18.7,858.0
123_30_9,ILSXISS123/TejJ,m,AL,31.35,23.049999999999997,5.6899999999999995,19.45,524.0
13_27_10,ILSXISS13/TejJ,f,AL,21.9,17.1,3.9,18.6,853.0
13_27_11,ILSXISS13/TejJ,f,AL,22.4,17.6,3.9,18.2,936.0
13_27_7,ILSXISS13/TejJ,f,AL,22.5,17.8,4.36,19.7,917.0
13_27_8,ILSXISS13/TejJ,f,AL,19.7,15.8,3.53,18.2,863.0
13_27_9,ILSXISS13/TejJ,f,AL,22.2,17.5,4.86,21.7,826.0
13_27_1,ILSXISS13/TejJ,m,AL,24.3,19.0,3.65,16.1,683.0
13_27_2,ILSXISS13/TejJ,m,AL,26.7,20.8,4.59,18.1,908.0
13_27_3,ILSXISS13/TejJ,m,AL,23.9,18.7,4.74,20.2,684.0
13_27_4,ILSXISS13/TejJ,m,AL,24.5,18.8,4.56,19.6,938.0
13_27_5,ILSXISS13/TejJ,m,AL,26.9,19.8,6.29,24.1,696.0
14_29_1,ILSXISS14/TejJ,m,AL,33.4,22.9,8.96,28.1,659.0
14_29_2,ILSXISS14/TejJ,m,AL,34.2,22.4,11.1,33.0,1032.0
14_29_3,ILSXISS14/TejJ,m,AL,33.8,24.4,8.17,25.1,694.0
14_29_4,ILSXISS14/TejJ,m,AL,32.4,22.7,9.14,28.7,994.0
14_29_5,ILSXISS14/TejJ,m,AL,30.1,21.9,6.99,24.2,946.0
16_28_10,ILSXISS16/TejJ,f,AL,21.3,16.3,3.6,18.1,852.0
16_28_11,ILSXISS16/TejJ,f,AL,23.1,16.8,4.93,22.7,440.0
16_28_12,ILSXISS16/TejJ,f,AL,23.5,17.4,5.39,23.6,904.0
16_28_7,ILSXISS16/TejJ,f,AL,23.1,16.8,4.93,22.7,421.0
16_28_8,ILSXISS16/TejJ,f,AL,23.1,16.8,4.93,22.7,687.0
16_28_1,ILSXISS16/TejJ,m,AL,19.4,15.8,2.08,11.6,607.0
16_28_2,ILSXISS16/TejJ,m,AL,24.3,18.4,5.06,21.6,840.0
16_28_3,ILSXISS16/TejJ,m,AL,29.4,21.6,6.73,23.7,755.0
16_28_4,ILSXISS16/TejJ,m,AL,29.4,20.3,8.11,28.5,817.0
16_28_5,ILSXISS16/TejJ,m,AL,24.3,18.4,5.88,23.7,58.0
16_28_9,ILSXISS16/TejJ,m,AL,24.1,16.5,5.88,26.3,761.0
19_29_1,ILSXISS19/TejJ,f,AL,21.6,16.3,4.03,19.8,868.0
19_29_2,ILSXISS19/TejJ,f,AL,21.7,15.3,5.2,25.4,1004.0
19_29_3,ILSXISS19/TejJ,f,AL,20.6,14.6,4.08,21.9,694.0
19_29_4,ILSXISS19/TejJ,f,AL,22.9,17.0,3.98,18.9,938.0
19_29_5,ILSXISS19/TejJ,f,AL,16.8,13.1,3.31,20.2,956.0
19_26_10,ILSXISS19/TejJ,m,AL,27.8,20.1,6.52,24.5,1046.0
19_29_11,ILSXISS19/TejJ,m,AL,28.9,20.0,6.62,24.9,744.0
19_29_7,ILSXISS19/TejJ,m,AL,25.2,19.4,5.27,21.3,981.0
19_29_8,ILSXISS19/TejJ,m,AL,23.4,18.4,4.42,19.3,904.0
19_29_9,ILSXISS19/TejJ,m,AL,26.8,18.9,6.62,26.0,1006.0
22_31_1,ILSXISS22/TejJ,m,AL,29.0,21.3,6.21,22.6,1168.0
22_31_2,ILSXISS22/TejJ,m,AL,29.0,21.0,7.34,25.9,1219.0
22_31_3,ILSXISS22/TejJ,m,AL,26.1,18.8,6.43,25.5,1097.0
22_31_4,ILSXISS22/TejJ,m,AL,31.5,21.1,8.01,27.5,1210.0
22_31_5,ILSXISS22/TejJ,m,AL,22.7,15.8,4.54,22.3,1067.0
23_28_10,ILSXISS23/TejJ,f,AL,27.0,16.8,9.47,36.0,832.0
23_28_13,ILSXISS23/TejJ,f,AL,26.1,17.6,8.02,31.3,930.0
23_28_18,ILSXISS23/TejJ,f,AL,22.6,17.0,4.61,21.3,947.0
23_28_19,ILSXISS23/TejJ,f,AL,21.2,15.1,5.32,26.1,1098.0
23_28_20,ILSXISS23/TejJ,f,AL,21.8,14.3,6.56,31.5,903.0
23_28_21,ILSXISS23/TejJ,f,AL,24.3,16.8,6.89,29.1,1152.0
23_28_28,ILSXISS23/TejJ,f,AL,22.2,14.2,7.05,33.2,991.0
23_28_29,ILSXISS23/TejJ,f,AL,21.9,15.0,6.1,28.9,1122.0
23_28_30,ILSXISS23/TejJ,f,AL,20.9,14.9,4.46,23.0,1016.0
23_28_31,ILSXISS23/TejJ,f,AL,23.4,17.2,5.59,24.5,1109.0
23_28_32,ILSXISS23/TejJ,f,AL,22.6,15.1,6.74,30.9,1146.0
23_28_4,ILSXISS23/TejJ,f,AL,27.6,23.8,3.76,13.7,607.0
23_28_5,ILSXISS23/TejJ,f,AL,22.5,17.1,4.99,22.5,1042.0
23_28_8,ILSXISS23/TejJ,f,AL,23.4,15.1,6.97,31.6,976.0
23_28_9,ILSXISS23/TejJ,f,AL,24.3,16.2,7.69,32.2,909.0
23_28_1,ILSXISS23/TejJ,m,AL,29.7,21.6,6.6,23.4,45.0
23_28_11,ILSXISS23/TejJ,m,AL,26.9,20.1,5.2,20.5,1109.0
23_28_12,ILSXISS23/TejJ,m,AL,20.5,15.9,4.38,21.6,1063.0
23_28_14,ILSXISS23/TejJ,m,AL,32.5,23.0,8.51,27.0,1098.0
23_28_15,ILSXISS23/TejJ,m,AL,35.6,23.0,11.5,33.3,645.0
23_28_16,ILSXISS23/TejJ,m,AL,29.7,21.6,6.6,23.4,390.0
23_28_17,ILSXISS23/TejJ,m,AL,25.6,19.9,4.41,18.2,949.0
23_28_2,ILSXISS23/TejJ,m,AL,30.1,21.6,7.37,25.4,1190.0
23_28_3,ILSXISS23/TejJ,m,AL,26.1,19.1,6.36,24.9,1149.0
23_28_6,ILSXISS23/TejJ,m,AL,29.7,21.8,6.6,23.2,1210.0
23_28_7,ILSXISS23/TejJ,m,AL,30.0,22.2,6.79,23.4,1013.0
24_27_4,ILSXISS24/TejJ,f,AL,31.5,15.4,14.5,48.5,1214.0
24_27_5,ILSXISS24/TejJ,f,AL,34.1,17.3,16.3,48.5,648.0
24_27_6,ILSXISS24/TejJ,f,AL,25.6,15.4,11.3,42.2,687.0
24_27_7,ILSXISS24/TejJ,f,AL,28.0,15.2,11.0,42.0,1023.0
24_27_8,ILSXISS24/TejJ,f,AL,23.6,12.5,9.56,43.4,1159.0
24_27_1,ILSXISS24/TejJ,m,AL,29.4,22.1,6.26,22.1,940.0
24_27_10,ILSXISS24/TejJ,m,AL,33.2,20.8,10.3,33.1,703.0
24_27_2,ILSXISS24/TejJ,m,AL,35.1,22.5,11.4,33.5,829.0
24_27_3,ILSXISS24/TejJ,m,AL,22.3,17.4,2.4,12.1,554.0
24_27_9,ILSXISS24/TejJ,m,AL,38.2,22.9,14.2,38.2,918.0
25_27_10,ILSXISS25/TejJ,f,AL,28.5,20.0,7.47,27.2,993.0
25_27_3,ILSXISS25/TejJ,f,AL,31.7,19.5,8.68,30.8,949.0
25_27_4,ILSXISS25/TejJ,f,AL,26.0,18.0,6.64,26.9,972.0
25_27_7,ILSXISS25/TejJ,f,AL,31.6,20.4,10.0,32.9,979.0
25_27_9,ILSXISS25/TejJ,f,AL,28.2,19.6,7.78,28.4,1046.0
25_27_1,ILSXISS25/TejJ,m,AL,32.2,23.8,6.22,20.7,899.0
25_27_2,ILSXISS25/TejJ,m,AL,31.9,23.2,8.13,25.9,1019.0
25_27_5,ILSXISS25/TejJ,m,AL,36.9,23.1,7.29,24.0,556.0
25_27_6,ILSXISS25/TejJ,m,AL,32.2,22.9,7.02,23.4,1068.0
25_27_8,ILSXISS25/TejJ,m,AL,32.7,23.6,6.84,22.5,979.0
26_27_10,ILSXISS26/TejJ,f,AL,23.4,17.6,5.9,25.1,1029.0
26_27_11,ILSXISS26/TejJ,f,AL,26.1,18.6,6.57,26.1,1058.0
26_27_12,ILSXISS26/TejJ,f,AL,22.4,16.4,4.1,20.0,1049.0
26_27_8,ILSXISS26/TejJ,f,AL,24.2,19.4,5.48,22.0,1071.0
26_27_9,ILSXISS26/TejJ,f,AL,23.5,15.9,7.3,31.4,959.0
26_27_1,ILSXISS26/TejJ,m,AL,36.6,25.9,9.42,26.7,897.0
26_27_2,ILSXISS26/TejJ,m,AL,37.5,24.1,11.4,32.2,1043.0
26_27_3,ILSXISS26/TejJ,m,AL,33.7,23.8,8.82,27.1,1066.0
26_27_4,ILSXISS26/TejJ,m,AL,34.1,23.1,9.6,29.4,1065.0
26_27_5,ILSXISS26/TejJ,m,AL,40.5,25.0,13.9,35.8,1022.0
28_29_3,ILSXISS28/TejJ,f,AL,25.0,21.1,4.14,16.4,764.0
28_29_4,ILSXISS28/TejJ,f,AL,26.2,19.0,3.2,14.4,657.0
28_29_6,ILSXISS28/TejJ,f,AL,25.2,20.2,3.67,15.4,658.0
28_29_8,ILSXISS28/TejJ,f,AL,21.9,17.4,3.77,17.8,716.0
28_29_9,ILSXISS28/TejJ,f,AL,20.0,15.8,2.7,14.6,824.0
3_28_10,ILSXISS3/TejJ,f,AL,24.0,18.2,4.74,20.6,1045.0
3_28_16,ILSXISS3/TejJ,f,AL,26.8,20.1,5.73,22.2,734.0
3_28_5,ILSXISS3/TejJ,f,AL,24.2,15.3,5.15,25.2,1214.0
3_28_8,ILSXISS3/TejJ,f,AL,25.0,18.0,5.71,24.1,836.0
3_28_9,ILSXISS3/TejJ,f,AL,25.0,17.9,5.13,22.3,1048.0
3_28_1,ILSXISS3/TejJ,m,AL,26.9,21.8,7.18,24.8,700.0
3_28_2,ILSXISS3/TejJ,m,AL,26.9,21.8,5.83,21.0,96.0
3_28_3,ILSXISS3/TejJ,m,AL,26.9,21.8,5.83,21.0,99.0
3_28_4,ILSXISS3/TejJ,m,AL,29.0,21.9,5.83,21.0,803.0
3_28_7,ILSXISS3/TejJ,m,AL,25.9,21.4,4.76,18.2,1064.0
41_29_10,ILSXISS41/TejJ,f,AL,28.6,19.5,8.4,30.1,986.0
41_29_11,ILSXISS41/TejJ,f,AL,25.9,19.3,6.97,26.5,771.0
41_29_15,ILSXISS41/TejJ,f,AL,24.8,17.2,6.82,28.4,843.0
41_29_16,ILSXISS41/TejJ,f,AL,21.4,15.8,3.34,17.4,994.0
41_29_17,ILSXISS41/TejJ,f,AL,26.1,19.0,6.72,26.1,1002.0
41_29_5,ILSXISS41/TejJ,m,AL,31.3,23.2,6.59,22.1,787.0
41_29_6,ILSXISS41/TejJ,m,AL,28.9,21.2,6.22,22.7,849.0
41_29_7,ILSXISS41/TejJ,m,AL,29.9,22.5,6.17,21.5,788.0
41_29_8,ILSXISS41/TejJ,m,AL,28.2,21.8,5.43,19.9,787.0
41_29_9,ILSXISS41/TejJ,m,AL,25.7,20.1,4.34,17.7,749.0
46_26_4,ILSXISS46/TejJ,f,AL,25.4,18.2,7.06,27.9,924.0
46_26_5,ILSXISS46/TejJ,f,AL,24.1,17.0,5.94,25.9,1147.0
46_26_6,ILSXISS46/TejJ,f,AL,28.1,17.6,8.01,31.3,1028.0
46_26_7,ILSXISS46/TejJ,f,AL,31.2,19.0,9.1,32.4,1160.0
46_26_8,ILSXISS46/TejJ,f,AL,22.6,16.9,3.92,18.9,1149.0
48_30_13,ILSXISS48/TejJ,f,AL,27.7,21.7,5.37,19.9,898.0
48_30_14,ILSXISS48/TejJ,f,AL,23.8,19.1,3.56,15.7,598.0
48_30_15,ILSXISS48/TejJ,f,AL,29.4,22.3,5.5,19.8,646.0
48_30_7,ILSXISS48/TejJ,f,AL,27.4,19.8,4.6,18.9,1136.0
48_30_8,ILSXISS48/TejJ,f,AL,25.8,18.6,4.79,20.5,980.0
48_30_1,ILSXISS48/TejJ,m,AL,29.2,23.0,3.17,12.1,580.0
48_30_2,ILSXISS48/TejJ,m,AL,36.1,25.2,8.17,24.4,751.0
48_30_3,ILSXISS48/TejJ,m,AL,32.0,24.0,6.26,20.7,733.0
48_30_4,ILSXISS48/TejJ,m,AL,30.3,22.6,6.54,22.4,961.0
48_30_5,ILSXISS48/TejJ,m,AL,33.6,24.7,7.01,22.1,941.0
49_27_10,ILSXISS49/TejJ,f,AL,22.8,18.2,3.97,17.9,712.0
49_27_3,ILSXISS49/TejJ,f,AL,25.0,21.8,3.62,14.3,629.0
49_27_4,ILSXISS49/TejJ,f,AL,23.0,17.9,5.55,23.6,791.0
49_27_7,ILSXISS49/TejJ,f,AL,24.1,17.9,5.15,22.4,646.0
49_27_8,ILSXISS49/TejJ,f,AL,19.9,16.2,2.71,14.3,771.0
49_27_1,ILSXISS49/TejJ,m,AL,25.3,21.1,2.96,12.3,580.0
49_27_2,ILSXISS49/TejJ,m,AL,32.2,23.3,7.82,25.1,1026.0
49_27_5,ILSXISS49/TejJ,m,AL,30.6,24.2,5.17,17.6,909.0
49_27_9,ILSXISS49/TejJ,m,AL,28.1,22.6,7.52,25.0,875.0
50_29_1,ILSXISS50/TejJ,f,AL,24.6,19.9,3.26,14.1,445.0
50_29_10,ILSXISS50/TejJ,f,AL,24.6,19.9,3.26,14.1,241.0
50_29_5,ILSXISS50/TejJ,f,AL,24.6,19.9,3.26,14.1,778.0
50_29_6,ILSXISS50/TejJ,f,AL,24.6,19.9,3.26,14.1,291.0
50_29_7,ILSXISS50/TejJ,f,AL,24.6,19.9,3.26,14.1,284.0
50_29_2,ILSXISS50/TejJ,m,AL,26.55,22.15,3.65,14.2,340.0
50_29_3,ILSXISS50/TejJ,m,AL,26.55,22.15,3.65,14.2,382.0
50_29_4,ILSXISS50/TejJ,m,AL,26.55,22.15,3.65,14.2,459.0
50_29_8,ILSXISS50/TejJ,m,AL,25.6,21.4,3.59,14.4,667.0
50_29_9,ILSXISS50/TejJ,m,AL,27.5,22.9,3.71,14.0,673.0
51_29_1,ILSXISS51/TejJ,f,AL,29.0,20.3,6.01,22.9,1028.0
51_29_2,ILSXISS51/TejJ,f,AL,28.9,22.2,5.77,20.6,820.0
51_29_3,ILSXISS51/TejJ,f,AL,31.3,21.3,8.88,29.4,785.0
51_29_4,ILSXISS51/TejJ,f,AL,27.9,19.8,6.38,24.4,918.0
51_29_5,ILSXISS51/TejJ,f,AL,28.2,21.3,5.8,21.4,611.0
51_29_10,ILSXISS51/TejJ,m,AL,32.6,23.2,8.5,26.8,1018.0
51_29_11,ILSXISS51/TejJ,m,AL,33.8,21.6,11.0,33.7,925.0
51_29_12,ILSXISS51/TejJ,m,AL,30.0,23.1,6.3,21.4,1107.0
51_29_13,ILSXISS51/TejJ,m,AL,28.1,19.4,7.12,26.9,705.0
51_29_14,ILSXISS51/TejJ,m,AL,35.3,22.5,11.4,33.7,1044.0
52_27_1,ILSXISS52/TejJ,m,AL,26.7,21.0,5.15,19.7,815.0
52_27_2,ILSXISS52/TejJ,m,AL,25.3,18.7,4.41,19.1,713.0
52_27_7,ILSXISS52/TejJ,m,AL,23.0,19.5,3.25,14.3,520.0
52_27_8,ILSXISS52/TejJ,m,AL,26.0,20.25,4.78,19.4,345.0
52_27_9,ILSXISS52/TejJ,m,AL,29.9,22.0,6.68,23.3,776.0
56_26_1,ILSXISS56/TejJ,f,AL,26.1,16.1,7.76,32.5,1014.0
56_26_2,ILSXISS56/TejJ,f,AL,24.1,18.0,5.5,23.4,1227.0
56_26_3,ILSXISS56/TejJ,f,AL,18.3,15.3,2.39,13.5,575.0
56_26_4,ILSXISS56/TejJ,f,AL,27.2,16.6,10.4,38.5,1145.0
56_26_7,ILSXISS56/TejJ,f,AL,26.5,15.2,10.3,40.5,1254.0
56_26_10,ILSXISS56/TejJ,m,AL,37.4,20.9,13.9,40.0,1277.0
56_26_5,ILSXISS56/TejJ,m,AL,36.1,21.4,14.0,39.7,974.0
56_26_6,ILSXISS56/TejJ,m,AL,21.7,16.8,3.29,16.4,1302.0
56_26_8,ILSXISS56/TejJ,m,AL,36.7,20.0,15.0,42.8,685.0
56_26_9,ILSXISS56/TejJ,m,AL,34.6,20.9,11.6,35.7,1279.0
60_29_10,ILSXISS60/TejJ,f,AL,20.5,16.0,3.18,16.6,1073.0
60_29_5,ILSXISS60/TejJ,f,AL,20.5,16.0,3.18,16.6,541.0
60_29_7,ILSXISS60/TejJ,f,AL,20.5,16.0,3.18,16.6,1157.0
60_29_8,ILSXISS60/TejJ,f,AL,20.5,16.0,3.18,16.6,370.0
60_29_9,ILSXISS60/TejJ,f,AL,20.5,16.0,3.18,16.6,1141.0
62_29_1,ILSXISS62/TejJ,m,AL,31.8,18.7,12.0,39.1,979.0
62_29_2,ILSXISS62/TejJ,m,AL,32.5,19.4,11.4,37.0,1055.0
62_29_3,ILSXISS62/TejJ,m,AL,35.5,18.8,14.1,42.8,1132.0
62_29_6,ILSXISS62/TejJ,m,AL,38.7,21.1,15.6,42.5,1106.0
62_29_7,ILSXISS62/TejJ,m,AL,36.5,20.9,13.5,39.2,1036.0
66_28_10,ILSXISS66/TejJ,f,AL,24.1,19.3,2.55,11.7,624.0
66_28_5,ILSXISS66/TejJ,f,AL,25.3,18.8,4.38,18.9,883.0
66_28_6,ILSXISS66/TejJ,f,AL,23.3,17.5,3.38,16.2,877.0
66_28_8,ILSXISS66/TejJ,f,AL,23.0,18.5,3.8,17.1,743.0
66_28_9,ILSXISS66/TejJ,f,AL,23.700000000000003,18.65,3.59,16.65,344.0
66_28_1,ILSXISS66/TejJ,m,AL,32.5,23.8,4.53,16.0,580.0
66_28_2,ILSXISS66/TejJ,m,AL,32.0,22.1,4.4,16.6,685.0
66_28_3,ILSXISS66/TejJ,m,AL,28.7,21.6,4.58,17.5,852.0
66_28_4,ILSXISS66/TejJ,m,AL,32.5,22.8,4.55,16.6,888.0
66_28_7,ILSXISS66/TejJ,m,AL,32.25,22.450000000000003,4.54,16.6,317.0
7_29_14,ILSXISS7/TejJ,f,AL,19.2,14.5,2.85,16.4,1210.0
7_29_15,ILSXISS7/TejJ,f,AL,25.5,17.2,5.96,25.7,1146.0
7_29_5,ILSXISS7/TejJ,f,AL,21.1,15.5,3.13,16.8,892.0
7_29_6,ILSXISS7/TejJ,f,AL,28.7,18.4,8.94,32.6,979.0
7_29_7,ILSXISS7/TejJ,f,AL,23.1,16.4,5.18,24.0,1143.0
7_29_10,ILSXISS7/TejJ,m,AL,27.1,21.1,4.22,16.6,1136.0
7_29_11,ILSXISS7/TejJ,m,AL,27.7,22.1,2.67,10.8,982.0
7_29_12,ILSXISS7/TejJ,m,AL,38.7,22.4,14.5,39.3,1017.0
7_29_8,ILSXISS7/TejJ,m,AL,34.2,22.4,10.3,31.6,1053.0
7_29_9,ILSXISS7/TejJ,m,AL,28.8,19.4,6.54,25.2,1048.0
79_26_1,ILSXISS79,m,AL,20.2,15.8,3.67,18.9,1069.0
79_26_2,ILSXISS79,m,AL,21.6,16.5,3.55,17.7,1094.0
79_26_3,ILSXISS79,m,AL,14.7,11.5,1.79,13.5,1216.0
79_26_4,ILSXISS79,m,AL,20.9,16.15,3.61,18.299999999999997,438.0
79_26_5,ILSXISS79,m,AL,26.5,20.5,4.87,19.2,1150.0
