strain,sex,animal_id,bw_AL,bw_DR,lean_AL,lean_DR,fat_AL,fat_DR,pct_fat_AL,pct_fat_DR,lifespan_AL,lifespan_DR
ILSXISS112/TejJ,f,112_29_13,,,,,,,,,552.0,
ILSXISS112/TejJ,f,112_29_14,24.6,,22.6,,2.47,,9.85,,580.0,
ILSXISS112/TejJ,f,112_29_15,,20.5,,15.0,,3.82,,20.3,,1172.0
ILSXISS112/TejJ,f,112_29_16,,18.9,,15.0,,2.39,,13.8,,1222.0
ILSXISS112/TejJ,f,112_29_17,,20.9,,15.1,,2.67,,15.0,,776.0
ILSXISS112/TejJ,f,112_29_18,,,,,,,,,,189.0
ILSXISS112/TejJ,f,112_29_19,,,,,,,,,,203.0
ILSXISS112/TejJ,m,112_29_21,,25.0,,18.1,,4.82,,21.0,,950.0
ILSXISS112/TejJ,m,112_29_30,,30.8,,19.8,,8.87,,30.9,,997.0
ILSXISS112/TejJ,m,112_29_31,,31.0,,20.0,,8.6,,30.0,,1004.0
ILSXISS112/TejJ,m,112_29_35,,33.7,,19.9,,11.5,,36.6,,1126.0
ILSXISS112/TejJ,m,112_29_6,43.6,,25.8,,15.7,,37.7,,610.0,
ILSXISS112/TejJ,m,112_29_7,31.2,,25.5,,4.15,,14.0,,838.0,
ILSXISS112/TejJ,m,112_29_8,37.7,,23.1,,12.1,,34.4,,1181.0,
ILSXISS112/TejJ,m,112_29_9,34.2,,24.8,,7.01,,22.0,,1055.0,
ILSXISS114/TejJ,f,114_29_10,26.0,,18.6,,6.91,,27.1,,911.0,
ILSXISS114/TejJ,f,114_29_12,,,,,,,,,,397.0
ILSXISS114/TejJ,f,114_29_13,,,,,,,,,,447.0
ILSXISS114/TejJ,f,114_29_14,,,,,,,,,,331.0
ILSXISS114/TejJ,f,114_29_15,,,,,,,,,,151.0
ILSXISS114/TejJ,f,114_29_4,22.7,,17.8,,3.97,,18.2,,1055.0,
ILSXISS114/TejJ,f,114_29_5,17.8,,13.5,,3.42,,20.2,,1058.0,
ILSXISS114/TejJ,f,114_29_6,,,,,,,,,527.0,
ILSXISS114/TejJ,f,114_29_7,18.9,,14.0,,3.96,,22.0,,875.0,
ILSXISS114/TejJ,m,114_29_1,21.8,,19.9,,4.59,,18.8,,1042.0,
ILSXISS114/TejJ,m,114_29_11,,16.0,,13.7,,1.76,,11.4,,542.0
ILSXISS114/TejJ,m,114_29_16,,15.9,,12.7,,1.31,,9.34,,793.0
ILSXISS114/TejJ,m,114_29_2,25.3,,21.5,,5.37,,20.0,,1044.0,
ILSXISS114/TejJ,m,114_29_3,22.7,,16.0,,4.54,,22.1,,1013.0,
ILSXISS114/TejJ,m,114_29_8,,,,,,,,,952.0,
ILSXISS114/TejJ,m,114_29_9,,,,,,,,,885.0,
ILSXISS115/TejJ,f,115_28_1,21.1,,16.9,,3.12,,15.6,,556.0,
ILSXISS115/TejJ,f,115_28_11,,,,,,,,,,147.0
ILSXISS115/TejJ,f,115_28_16,,,,,,,,,,79.0
ILSXISS115/TejJ,f,115_28_2,22.5,,17.5,,3.71,,17.5,,746.0,
ILSXISS115/TejJ,f,115_28_3,21.8,,16.7,,3.71,,18.1,,632.0,
ILSXISS115/TejJ,f,115_28_4,22.0,,15.3,,3.86,,20.2,,924.0,
ILSXISS115/TejJ,f,115_28_5,21.3,,17.4,,3.03,,14.9,,799.0,
ILSXISS115/TejJ,m,115_28_10,25.5,,18.2,,6.6,,26.6,,1017.0,
ILSXISS115/TejJ,m,115_28_12,,,,,,,,,,407.0
ILSXISS115/TejJ,m,115_28_13,,,,,,,,,,227.0
ILSXISS115/TejJ,m,115_28_14,,,,,,,,,,198.0
ILSXISS115/TejJ,m,115_28_15,,,,,,,,,,339.0
ILSXISS115/TejJ,m,115_28_6,26.8,,21.7,,7.75,,26.3,,890.0,
ILSXISS115/TejJ,m,115_28_7,35.6,,22.6,,11.9,,34.5,,789.0,
ILSXISS115/TejJ,m,115_28_8,28.3,,17.3,,7.32,,29.7,,1088.0,
ILSXISS115/TejJ,m,115_28_9,26.9,,19.2,,6.64,,25.7,,992.0,
ILSXISS117,f,117_30_10,30.9,,23.4,,6.39,,21.5,,641.0,
ILSXISS117,f,117_30_11,31.9,,18.1,,7.72,,29.9,,819.0,
ILSXISS117,f,117_30_15,25.2,,17.8,,5.4,,23.3,,824.0,
ILSXISS117,f,117_30_18,,19.3,,10.6,,4.91,,31.6,,1078.0
ILSXISS117,f,117_30_19,,18.9,,16.1,,2.52,,13.6,,927.0
ILSXISS117,f,117_30_8,,,,,,,,,477.0,
ILSXISS117,f,117_30_9,28.0,,23.1,,4.49,,16.3,,575.0,
ILSXISS117,m,117_30_1,27.4,,21.0,,5.81,,21.6,,1092.0,
ILSXISS117,m,117_30_12,,25.6,,19.8,,3.79,,16.1,,762.0
ILSXISS117,m,117_30_13,,,,,,,,,,483.0
ILSXISS117,m,117_30_14,,26.3,,19.1,,6.04,,24.0,,745.0
ILSXISS117,m,117_30_2,19.9,,15.7,,3.15,,16.7,,755.0,
ILSXISS117,m,117_30_3,21.7,,17.1,,4.54,,21.0,,893.0,
ILSXISS117,m,117_30_4,22.1,,17.8,,3.42,,16.1,,761.0,
ILSXISS117,m,117_30_5,23.0,,17.1,,4.96,,22.5,,1075.0,
ILSXISS117,m,117_30_6,,25.7,,17.8,,3.58,,16.7,,696.0
ILSXISS117,m,117_30_7,,24.3,,17.2,,2.25,,11.6,,557.0
ILSXISS122/TejJ,f,122_30_10,,,,,,,,,450.0,
ILSXISS122/TejJ,f,122_30_11,25.1,,18.8,,4.86,,20.5,,1010.0,
ILSXISS122/TejJ,f,122_30_12,25.4,,18.8,,4.4,,19.0,,1074.0,
ILSXISS122/TejJ,f,122_30_15,,,,,,,,,,263.0
ILSXISS122/TejJ,f,122_30_16,,,,,,,,,,455.0
ILSXISS122/TejJ,f,122_30_17,,,,,,,,,,178.0
ILSXISS122/TejJ,f,122_30_8,27.6,,19.4,,6.52,,25.1,,701.0,
ILSXISS122/TejJ,f,122_30_9,24.5,,18.6,,4.6,,19.8,,1155.0,
ILSXISS122/TejJ,m,122_30_13,29.8,,24.8,,3.21,,11.5,,956.0,
ILSXISS122/TejJ,m,122_30_14,27.9,,23.2,,2.63,,10.2,,767.0,
ILSXISS122/TejJ,m,122_30_18,,19.4,,14.1,,2.47,,14.9,,840.0
ILSXISS122/TejJ,m,122_30_19,,,,,,,,,,473.0
ILSXISS122/TejJ,m,122_30_20,,,,,,,,,,362.0
ILSXISS122/TejJ,m,122_30_21,,20.2,,16.6,,2.09,,11.2,,893.0
ILSXISS122/TejJ,m,122_30_22,,17.9,,14.9,,2.48,,14.3,,857.0
ILSXISS122/TejJ,m,122_30_5,28.3,,20.9,,2.66,,11.3,,843.0,
ILSXISS122/TejJ,m,122_30_6,28.3,,21.9,,2.6,,10.6,,859.0,
ILSXISS122/TejJ,m,122_30_7,26.7,,22.8,,2.93,,11.4,,959.0,
ILSXISS123/TejJ,f,123_30_11,,19.5,,14.0,,1.79,,11.4,,1196.0
ILSXISS123/TejJ,f,123_30_17,,16.5,,13.8,,1.83,,11.7,,616.0
ILSXISS123/TejJ,f,123_30_19,,20.3,,15.5,,3.02,,16.3,,1033.0
ILSXISS123/TejJ,f,123_30_20,,20.2,,14.2,,2.95,,17.2,,1093.0
ILSXISS123/TejJ,f,123_30_21,,13.7,,10.5,,1.53,,12.7,,1122.0
ILSXISS123/TejJ,f,123_30_3,24.4,,17.9,,3.96,,18.1,,1012.0,
ILSXISS123/TejJ,f,123_30_4,26.8,,19.1,,4.72,,19.8,,938.0,
ILSXISS123/TejJ,f,123_30_5,24.8,,19.4,,4.07,,17.4,,983.0,
ILSXISS123/TejJ,f,123_30_6,24.3,,19.5,,2.54,,11.6,,962.0,
ILSXISS123/TejJ,f,123_30_7,27.8,,18.0,,6.73,,27.2,,716.0,
ILSXISS123/TejJ,m,123_30_1,30.7,,22.7,,5.76,,20.2,,915.0,
ILSXISS123/TejJ,m,123_30_10,29.6,,22.5,,4.34,,16.1,,1049.0,
ILSXISS123/TejJ,m,123_30_12,,22.7,,18.5,,3.64,,16.4,,820.0
ILSXISS123/TejJ,m,123_30_13,,23.1,,17.6,,3.83,,17.9,,985.0
ILSXISS123/TejJ,m,123_30_14,,21.3,,16.1,,4.0,,19.9,,993.0
ILSXISS123/TejJ,m,123_30_15,,22.9,,18.0,,3.56,,16.5,,928.0
ILSXISS123/TejJ,m,123_30_16,,22.2,,16.6,,4.48,,21.2,,1044.0
ILSXISS123/TejJ,m,123_30_2,32.0,,23.4,,6.78,,22.5,,1016.0,
ILSXISS123/TejJ,m,123_30_8,32.5,,24.4,,5.62,,18.7,,858.0,
ILSXISS123/TejJ,m,123_30_9,,,,,,,,,524.0,
ILSXISS13/TejJ,f,13_27_10,21.9,,17.1,,3.9,,18.6,,853.0,
ILSXISS13/TejJ,f,13_27_11,22.4,,17.6,,3.9,,18.2,,936.0,
ILSXISS13/TejJ,f,13_27_12,,,,,,,,,,187.0
ILSXISS13/TejJ,f,13_27_17,,19.0,,12.9,,3.75,,22.6,,937.0
ILSXISS13/TejJ,f,13_27_18,,19.6,,13.9,,3.7,,21.0,,673.0
ILSXISS13/TejJ,f,13_27_19,,20.1,,14.0,,3.7,,20.9,,967.0
ILSXISS13/TejJ,f,13_27_20,,17.8,,12.4,,3.31,,21.0,,977.0
ILSXISS13/TejJ,f,13_27_7,22.5,,17.8,,4.36,,19.7,,917.0,
ILSXISS13/TejJ,f,13_27_8,19.7,,15.8,,3.53,,18.2,,863.0,
ILSXISS13/TejJ,f,13_27_9,22.2,,17.5,,4.86,,21.7,,826.0,
ILSXISS13/TejJ,m,13_27_1,24.3,,19.0,,3.65,,16.1,,683.0,
ILSXISS13/TejJ,m,13_27_13,,23.2,,16.6,,5.55,,25.1,,962.0
ILSXISS13/TejJ,m,13_27_14,,22.0,,15.8,,4.41,,21.8,,927.0
ILSXISS13/TejJ,m,13_27_15,,22.8,,17.0,,4.21,,19.9,,973.0
ILSXISS13/TejJ,m,13_27_16,,20.5,,15.1,,3.79,,20.1,,956.0
ILSXISS13/TejJ,m,13_27_2,26.7,,20.8,,4.59,,18.1,,908.0,
ILSXISS13/TejJ,m,13_27_3,23.9,,18.7,,4.74,,20.2,,684.0,
ILSXISS13/TejJ,m,13_27_4,24.5,,18.8,,4.56,,19.6,,938.0,
ILSXISS13/TejJ,m,13_27_5,26.9,,19.8,,6.29,,24.1,,696.0,
ILSXISS13/TejJ,m,13_27_6,,20.5,,16.0,,3.89,,19.5,,846.0
ILSXISS14/TejJ,m,14_29_1,33.4,,22.9,,8.96,,28.1,,659.0,
ILSXISS14/TejJ,m,14_29_11,,24.8,,18.5,,4.02,,17.8,,1041.0
ILSXISS14/TejJ,m,14_29_12,,24.5,,18.4,,3.51,,16.0,,1084.0
ILSXISS14/TejJ,m,14_29_14,,18.9,,14.6,,3.79,,20.6,,1026.0
ILSXISS14/TejJ,m,14_29_2,34.2,,22.4,,11.1,,33.0,,1032.0,
ILSXISS14/TejJ,m,14_29_3,33.8,,24.4,,8.17,,25.1,,694.0,
ILSXISS14/TejJ,m,14_29_4,32.4,,22.7,,9.14,,28.7,,994.0,
ILSXISS14/TejJ,m,14_29_5,30.1,,21.9,,6.99,,24.2,,946.0,
ILSXISS14/TejJ,m,14_29_6,,20.4,,17.6,,2.56,,12.7,,1100.0
ILSXISS14/TejJ,m,14_29_7,,22.0,,18.9,,3.01,,13.7,,925.0
ILSXISS16/TejJ,f,16_28_10,21.3,,16.3,,3.6,,18.1,,852.0,
ILSXISS16/TejJ,f,16_28_11,,,,,,,,,440.0,
ILSXISS16/TejJ,f,16_28_12,23.5,,17.4,,5.39,,23.6,,904.0,
ILSXISS16/TejJ,f,16_28_13,,23.0,,16.8,,2.93,,14.8,,631.0
ILSXISS16/TejJ,f,16_28_14,,22.0,,13.4,,3.0,,18.3,,549.0
ILSXISS16/TejJ,f,16_28_15,,16.1,,11.9,,2.32,,16.3,,658.0
ILSXISS16/TejJ,f,16_28_16,,16.1,,12.1,,1.68,,12.2,,485.0
ILSXISS16/TejJ,f,16_28_17,,18.8,,13.2,,4.78,,26.7,,854.0
ILSXISS16/TejJ,f,16_28_7,,,,,,,,,421.0,
ILSXISS16/TejJ,f,16_28_8,23.1,,16.8,,4.93,,22.7,,687.0,
ILSXISS16/TejJ,m,16_28_1,19.4,,15.8,,2.08,,11.6,,607.0,
ILSXISS16/TejJ,m,16_28_2,24.3,,18.4,,5.06,,21.6,,840.0,
ILSXISS16/TejJ,m,16_28_20,,16.7,,12.8,,1.39,,9.77,,426.0
ILSXISS16/TejJ,m,16_28_21,,,,,,,,,,391.0
ILSXISS16/TejJ,m,16_28_23,,16.5,,12.9,,2.72,,17.4,,701.0
ILSXISS16/TejJ,m,16_28_24,,,,,,,,,,91.0
ILSXISS16/TejJ,m,16_28_3,29.4,,21.6,,6.73,,23.7,,755.0,
ILSXISS16/TejJ,m,16_28_4,29.4,,20.3,,8.11,,28.5,,817.0,
ILSXISS16/TejJ,m,16_28_5,,,,,,,,,58.0,
ILSXISS16/TejJ,m,16_28_9,24.1,,16.5,,5.88,,26.3,,761.0,
ILSXISS19/TejJ,f,19_29_1,21.6,,16.3,,4.03,,19.8,,868.0,
ILSXISS19/TejJ,f,19_29_12,,14.9,,11.5,,1.62,,12.3,,661.0
ILSXISS19/TejJ,f,19_29_13,,13.9,,10.5,,1.38,,11.6,,526.0
ILSXISS19/TejJ,f,19_29_14,,,,,,,,,,152.0
ILSXISS19/TejJ,f,19_29_15,,17.2,,12.8,,2.23,,14.8,,1027.0
ILSXISS19/TejJ,f,19_29_2,21.7,,15.3,,5.2,,25.4,,1004.0,
ILSXISS19/TejJ,f,19_29_3,20.6,,14.6,,4.08,,21.9,,694.0,
ILSXISS19/TejJ,f,19_29_4,22.9,,17.0,,3.98,,18.9,,938.0,
ILSXISS19/TejJ,f,19_29_5,16.8,,13.1,,3.31,,20.2,,956.0,
ILSXISS19/TejJ,f,19_29_6,,17.1,,12.5,,2.06,,14.1,,1005.0
ILSXISS19/TejJ,m,19_26_10,27.8,,20.1,,6.52,,24.5,,1046.0,
ILSXISS19/TejJ,m,19_29_11,28.9,,20.0,,6.62,,24.9,,744.0,
ILSXISS19/TejJ,m,19_29_18,,16.4,,11.9,,1.46,,10.9,,610.0
ILSXISS19/TejJ,m,19_29_19,,,,,,,,,,373.0
ILSXISS19/TejJ,m,19_29_20,,,,,,,,,,395.0
ILSXISS19/TejJ,m,19_29_24,,14.1,,12.9,,2.0,,13.4,,471.0
ILSXISS19/TejJ,m,19_29_7,25.2,,19.4,,5.27,,21.3,,981.0,
ILSXISS19/TejJ,m,19_29_8,23.4,,18.4,,4.42,,19.3,,904.0,
ILSXISS19/TejJ,m,19_29_9,26.8,,18.9,,6.62,,26.0,,1006.0,
ILSXISS22/TejJ,m,22_31_1,29.0,,21.3,,6.21,,22.6,,1168.0,
ILSXISS22/TejJ,m,22_31_10,,23.8,,16.8,,5.92,,26.1,,884.0
ILSXISS22/TejJ,m,22_31_11,,23.4,,17.1,,5.47,,24.3,,1054.0
ILSXISS22/TejJ,m,22_31_12,,24.0,,17.5,,4.6,,20.8,,1020.0
ILSXISS22/TejJ,m,22_31_13,,24.6,,18.1,,4.78,,20.9,,1054.0
ILSXISS22/TejJ,m,22_31_2,29.0,,21.0,,7.34,,25.9,,1219.0,
ILSXISS22/TejJ,m,22_31_3,26.1,,18.8,,6.43,,25.5,,1097.0,
ILSXISS22/TejJ,m,22_31_4,31.5,,21.1,,8.01,,27.5,,1210.0,
ILSXISS22/TejJ,m,22_31_5,22.7,,15.8,,4.54,,22.3,,1067.0,
ILSXISS23/TejJ,f,23_28_10,27.0,,16.8,,9.47,,36.0,,832.0,
ILSXISS23/TejJ,f,23_28_13,26.1,,17.6,,8.02,,31.3,,930.0,
ILSXISS23/TejJ,f,23_28_18,22.6,,17.0,,4.61,,21.3,,947.0,
ILSXISS23/TejJ,f,23_28_19,21.2,,15.1,,5.32,,26.1,,1098.0,
ILSXISS23/TejJ,f,23_28_20,21.8,,14.3,,6.56,,31.5,,903.0,
ILSXISS23/TejJ,f,23_28_21,24.3,,16.8,,6.89,,29.1,,1152.0,
ILSXISS23/TejJ,f,23_28_28,22.2,,14.2,,7.05,,33.2,,991.0,
ILSXISS23/TejJ,f,23_28_29,21.9,,15.0,,6.1,,28.9,,1122.0,
ILSXISS23/TejJ,f,23_28_30,20.9,,14.9,,4.46,,23.0,,1016.0,
ILSXISS23/TejJ,f,23_28_31,23.4,,17.2,,5.59,,24.5,,1109.0,
ILSXISS23/TejJ,f,23_28_32,22.6,,15.1,,6.74,,30.9,,1146.0,
ILSXISS23/TejJ,f,23_28_33,,14.2,,11.0,,2.03,,15.6,,906.0
ILSXISS23/TejJ,f,23_28_34,,,,,,,,,,220.0
ILSXISS23/TejJ,f,23_28_35,,13.5,,10.9,,2.8,,20.4,,873.0
ILSXISS23/TejJ,f,23_28_36,,12.2,,10.0,,2.38,,19.2,,638.0
ILSXISS23/TejJ,f,23_28_37,,12.5,,10.8,,2.14,,16.6,,852.0
ILSXISS23/TejJ,f,23_28_4,27.6,,23.8,,3.76,,13.7,,607.0,
ILSXISS23/TejJ,f,23_28_40,,18.0,,12.0,,3.15,,20.8,,638.0
ILSXISS23/TejJ,f,23_28_41,,,,,,,,,,162.0
ILSXISS23/TejJ,f,23_28_42,,15.2,,10.7,,1.6,,13.0,,529.0
ILSXISS23/TejJ,f,23_28_43,,17.5,,11.5,,3.41,,22.9,,851.0
ILSXISS23/TejJ,f,23_28_44,,16.8,,11.7,,4.59,,28.2,,909.0
ILSXISS23/TejJ,f,23_28_45,,16.4,,12.3,,3.33,,21.2,,594.0
ILSXISS23/TejJ,f,23_28_5,22.5,,17.1,,4.99,,22.5,,1042.0,
ILSXISS23/TejJ,f,23_28_50,,14.6,,10.7,,2.26,,17.4,,579.0
ILSXISS23/TejJ,f,23_28_51,,14.0,,10.4,,2.27,,17.9,,601.0
ILSXISS23/TejJ,f,23_28_52,,,,,,,,,,221.0
ILSXISS23/TejJ,f,23_28_8,23.4,,15.1,,6.97,,31.6,,976.0,
ILSXISS23/TejJ,f,23_28_9,24.3,,16.2,,7.69,,32.2,,909.0,
ILSXISS23/TejJ,m,23_28_1,,,,,,,,,45.0,
ILSXISS23/TejJ,m,23_28_11,26.9,,20.1,,5.2,,20.5,,1109.0,
ILSXISS23/TejJ,m,23_28_12,20.5,,15.9,,4.38,,21.6,,1063.0,
ILSXISS23/TejJ,m,23_28_14,32.5,,23.0,,8.51,,27.0,,1098.0,
ILSXISS23/TejJ,m,23_28_15,35.6,,23.0,,11.5,,33.3,,645.0,
ILSXISS23/TejJ,m,23_28_16,,,,,,,,,390.0,
ILSXISS23/TejJ,m,23_28_17,25.6,,19.9,,4.41,,18.2,,949.0,
ILSXISS23/TejJ,m,23_28_2,30.1,,21.6,,7.37,,25.4,,1190.0,
ILSXISS23/TejJ,m,23_28_25,,21.0,,16.4,,3.68,,18.4,,1016.0
ILSXISS23/TejJ,m,23_28_26,,19.0,,13.9,,2.98,,17.6,,894.0
ILSXISS23/TejJ,m,23_28_27,,21.0,,14.8,,4.19,,22.0,,1034.0
ILSXISS23/TejJ,m,23_28_3,26.1,,19.1,,6.36,,24.9,,1149.0,
ILSXISS23/TejJ,m,23_28_38,,20.5,,14.4,,3.61,,20.0,,913.0
ILSXISS23/TejJ,m,23_28_39,,22.2,,14.4,,5.33,,27.0,,1035.0
ILSXISS23/TejJ,m,23_28_46,,19.1,,14.5,,4.31,,23.0,,950.0
ILSXISS23/TejJ,m,23_28_47,,,,,,,,,,255.0
ILSXISS23/TejJ,m,23_28_48,,19.3,,14.0,,3.93,,21.9,,979.0
ILSXISS23/TejJ,m,23_28_49,,18.7,,13.6,,3.58,,20.8,,1016.0
ILSXISS23/TejJ,m,23_28_6,29.7,,21.8,,6.6,,23.2,,1210.0,
ILSXISS23/TejJ,m,23_28_7,30.0,,22.2,,6.79,,23.4,,1013.0,
ILSXISS24/TejJ,f,24_27_11,,15.6,,12.8,,3.64,,22.1,,645.0
ILSXISS24/TejJ,f,24_27_12,,,,,,,,,,494.0
ILSXISS24/TejJ,f,24_27_14,,,,,,,,,,126.0
ILSXISS24/TejJ,f,24_27_17,,15.2,,11.4,,2.46,,17.7,,619.0
ILSXISS24/TejJ,f,24_27_20,,14.5,,10.4,,2.5,,19.4,,561.0
ILSXISS24/TejJ,f,24_27_4,31.5,,15.4,,14.5,,48.5,,1214.0,
ILSXISS24/TejJ,f,24_27_5,34.1,,17.3,,16.3,,48.5,,648.0,
ILSXISS24/TejJ,f,24_27_6,25.6,,15.4,,11.3,,42.2,,687.0,
