strain,sex,animal_id,lifespan_median,lifespandays
A/J,m,98,,252
A/J,m,99,,504
BALB/cByJ,f,00068B0508,,802
BALB/cByJ,f,00068B0A4C,,802
BALB/cByJ,f,00068B0D22,,841
BALB/cByJ,f,00068B0E4D,,557
BALB/cByJ,f,00068B1D53,,638
BALB/cByJ,f,00068B2436,,785
BALB/cByJ,f,00068B260F,,798
BALB/cByJ,f,00068B27B1,,301
BALB/cByJ,f,00068af298,,837
BALB/cByJ,f,00068af96d,,721
BALB/cByJ,f,00068afc56,,798
BALB/cByJ,f,00068afd31,,877
BALB/cByJ,f,00068afd78,,877
BALB/cByJ,f,00068b07cd,,848
BALB/cByJ,f,00068b0ff6,,729
BALB/cByJ,f,00068b10fd,,882
BALB/cByJ,f,00068b16b9,,553
BALB/cByJ,f,00068b18a2,,757
BALB/cByJ,f,00068b1c1a,,700
BALB/cByJ,f,00068b1c69,,757
BALB/cByJ,f,00068b1db8,,581
BALB/cByJ,f,00068b1e11,,906
BALB/cByJ,f,00068b1f43,,890
BALB/cByJ,f,00068b2089,,757
BALB/cByJ,f,135,,724
BALB/cByJ,f,136,,930
BALB/cByJ,f,137,,819
BALB/cByJ,f,138,,819
BALB/cByJ,f,139,,301
BALB/cByJ,f,140,,560
BALB/cByJ,f,141,,638
BALB/cByJ,f,142,,715
BALB/cByJ,m,00068AFE4B,,758
BALB/cByJ,m,00068B177C,,714
BALB/cByJ,m,00068B28B7,,939
BALB/cByJ,m,00068CD521,,469
BALB/cByJ,m,00068CF5B6,,753
BALB/cByJ,m,00068D0C55,,701
BALB/cByJ,m,00068D0CF3,,512
BALB/cByJ,m,00068D2C59,,758
BALB/cByJ,m,00068D4C4D,,427
BALB/cByJ,m,00068af3b4,,840
BALB/cByJ,m,00068af5bb,,707
BALB/cByJ,m,00068afc53,,533
BALB/cByJ,m,00068afec4,,555
BALB/cByJ,m,00068b06c2,,406
BALB/cByJ,m,00068b09c1,,757
BALB/cByJ,m,00068b0b59,,664
BALB/cByJ,m,00068b0cae,,527
BALB/cByJ,m,00068b0ed7,,624
BALB/cByJ,m,00068b0fa8,,975
BALB/cByJ,m,00068b1663,,936
BALB/cByJ,m,00068b23a7,,504
BALB/cByJ,m,00068cdc89,,895
BALB/cByJ,m,00068cff7b,,925
BALB/cByJ,m,00069a03ca,,889
BALB/cByJ,m,00069a1d61,,767
BALB/cByJ,m,00069a1eb8,,889
BALB/cByJ,m,00069a3047,,721
BALB/cByJ,m,0068b29d2,,763
BALB/cByJ,m,14,,232
BALB/cByJ,m,143,,345
BALB/cByJ,m,144,,386
BALB/cByJ,m,145,,386
BTBR T<+> Itpr3<tf>/J,f,00068af450,,547
BTBR T<+> Itpr3<tf>/J,f,00068afc75,,597
BTBR T<+> Itpr3<tf>/J,f,00068afceb,,310
BTBR T<+> Itpr3<tf>/J,f,00068afe43,,877
BTBR T<+> Itpr3<tf>/J,f,00068b0285,,666
BTBR T<+> Itpr3<tf>/J,f,00068b04db,,610
BTBR T<+> Itpr3<tf>/J,f,00068b0528,,536
BTBR T<+> Itpr3<tf>/J,f,00068b0c00,,693
BTBR T<+> Itpr3<tf>/J,f,00068b1031,,530
BTBR T<+> Itpr3<tf>/J,f,00068b1279,,448
BTBR T<+> Itpr3<tf>/J,f,00068b1da8,,486
BTBR T<+> Itpr3<tf>/J,f,00068b25ea,,687
BTBR T<+> Itpr3<tf>/J,f,00068b263e,,697
BTBR T<+> Itpr3<tf>/J,f,00068b2737,,596
BTBR T<+> Itpr3<tf>/J,f,00068b27b6,,476
BTBR T<+> Itpr3<tf>/J,f,00068d1f90,,644
BTBR T<+> Itpr3<tf>/J,f,00069a0354,,707
BTBR T<+> Itpr3<tf>/J,f,00069a308c,,739
BTBR T<+> Itpr3<tf>/J,f,146,,232
BTBR T<+> Itpr3<tf>/J,f,147,,567
BTBR T<+> Itpr3<tf>/J,f,148,,647
BTBR T<+> Itpr3<tf>/J,f,149,,479
BTBR T<+> Itpr3<tf>/J,f,150,,567
BTBR T<+> Itpr3<tf>/J,f,151,,638
BTBR T<+> Itpr3<tf>/J,f,152,,595
BTBR T<+> Itpr3<tf>/J,f,153,,617
BTBR T<+> Itpr3<tf>/J,f,154,,631
BTBR T<+> Itpr3<tf>/J,f,155,,668
BTBR T<+> Itpr3<tf>/J,f,156,,217
BTBR T<+> Itpr3<tf>/J,f,157,,581
BTBR T<+> Itpr3<tf>/J,f,158,,611
BTBR T<+> Itpr3<tf>/J,f,159,,658
BTBR T<+> Itpr3<tf>/J,m,00068af4a5,,435
BTBR T<+> Itpr3<tf>/J,m,00068af643,,530
BTBR T<+> Itpr3<tf>/J,m,00068af68e,,444
BTBR T<+> Itpr3<tf>/J,m,00068afa3b,,575
BTBR T<+> Itpr3<tf>/J,m,00068afe83,,413
BTBR T<+> Itpr3<tf>/J,m,00068b048f,,715
BTBR T<+> Itpr3<tf>/J,m,00068b0606,,736
BTBR T<+> Itpr3<tf>/J,m,00068b07f2,,350
BTBR T<+> Itpr3<tf>/J,m,00068b0df5,,847
BTBR T<+> Itpr3<tf>/J,m,00068b118f,,598
BTBR T<+> Itpr3<tf>/J,m,00068b1432,,498
BTBR T<+> Itpr3<tf>/J,m,00068b1486,,672
BTBR T<+> Itpr3<tf>/J,m,00068b1986,,393
BTBR T<+> Itpr3<tf>/J,m,00068b1b18,,742
BTBR T<+> Itpr3<tf>/J,m,00068b1e2c,,828
BTBR T<+> Itpr3<tf>/J,m,00068b2373,,555
BTBR T<+> Itpr3<tf>/J,m,00069a16a4,,728
BTBR T<+> Itpr3<tf>/J,m,00069a20db,,889
BTBR T<+> Itpr3<tf>/J,m,160,,400
BTBR T<+> Itpr3<tf>/J,m,161,,538
BTBR T<+> Itpr3<tf>/J,m,162,,420
BTBR T<+> Itpr3<tf>/J,m,163,,587
BTBR T<+> Itpr3<tf>/J,m,164,,805
BTBR T<+> Itpr3<tf>/J,m,165,,822
BTBR T<+> Itpr3<tf>/J,m,166,,373
BTBR T<+> Itpr3<tf>/J,m,167,,437
BTBR T<+> Itpr3<tf>/J,m,168,,560
BTBR T<+> Itpr3<tf>/J,m,169,,679
BTBR T<+> Itpr3<tf>/J,m,170,,456
BTBR T<+> Itpr3<tf>/J,m,171,,533
BTBR T<+> Itpr3<tf>/J,m,172,,694
BTBR T<+> Itpr3<tf>/J,m,173,,700
BUB/BnJ,f,000666d252,,635
BUB/BnJ,f,00068B0861,,818
BUB/BnJ,f,00068B2B1D,,457
BUB/BnJ,f,00068afc65,,538
BUB/BnJ,f,00068b08b0,,495
BUB/BnJ,f,00068b0c1e,,678
BUB/BnJ,f,00068b1350,,628
BUB/BnJ,f,00068b1620,,551
BUB/BnJ,f,00068b226a,,904
BUB/BnJ,f,00068cd85c,,621
BUB/BnJ,f,00068ce425,,810
BUB/BnJ,f,00068cf827,,867
BUB/BnJ,f,00069a0bf2,,726
BUB/BnJ,f,00069a1aa3,,1034
BUB/BnJ,f,00069a2655,,965
BUB/BnJ,f,00069a2a4e,,722
BUB/BnJ,f,000B6B05DB,,455
BUB/BnJ,f,174,,328
BUB/BnJ,f,175,,343
BUB/BnJ,f,176,,266
BUB/BnJ,f,177,,357
BUB/BnJ,f,178,,523
BUB/BnJ,f,179,,670
BUB/BnJ,f,180,,279
BUB/BnJ,m,00068AF246,,874
BUB/BnJ,m,00068AF767,,875
BUB/BnJ,m,00068B0CD2,,260
BUB/BnJ,m,00068b0187,,447
BUB/BnJ,m,00068b0d9b,,888
BUB/BnJ,m,00068b106a,,307
BUB/BnJ,m,00068b250c,,366
BUB/BnJ,m,00068b2b45,,889
BUB/BnJ,m,00068ce47b,,693
BUB/BnJ,m,00069a0931,,426
BUB/BnJ,m,00069a1427,,768
BUB/BnJ,m,00069a18cf,,873
BUB/BnJ,m,00069a1ae9,,693
BUB/BnJ,m,00069a1dbc,,855
BUB/BnJ,m,00069a201b,,1020
BUB/BnJ,m,00069a24e6,,889
BUB/BnJ,m,00069a2645,,608
BUB/BnJ,m,181,,354
BUB/BnJ,m,182,,354
BUB/BnJ,m,183,,301
BUB/BnJ,m,184,,341
BUB/BnJ,m,185,,383
BUB/BnJ,m,186,,287
BUB/BnJ,m,187,,493
C3H/HeJ,f,00068af477,,815
C3H/HeJ,f,00068af4c4,,582
C3H/HeJ,f,00068afada,,595
C3H/HeJ,f,00068b0130,,876
C3H/HeJ,f,00068b0291,,800
C3H/HeJ,f,00068b0303,,548
C3H/HeJ,f,00068b0417,,795
C3H/HeJ,f,00068b0843,,795
C3H/HeJ,f,00068b09be,,694
C3H/HeJ,f,00068b09e6,,701
C3H/HeJ,f,00068b0b7c,,659
C3H/HeJ,f,00068b0c7c,,854
C3H/HeJ,f,00068b12c0,,813
C3H/HeJ,f,00068b143d,,835
C3H/HeJ,f,00068b14b1,,701
C3H/HeJ,f,00068b1e00,,777
C3H/HeJ,f,00068b1ed4,,801
C3H/HeJ,f,00068b1eed,,777
C3H/HeJ,f,00068b20cd,,833
C3H/HeJ,f,00068b225d,,622
C3H/HeJ,f,00068b2917,,323
C3H/HeJ,f,00068b298d,,869
C3H/HeJ,f,189,,532
C3H/HeJ,f,190,,585
C3H/HeJ,f,191,,836
C3H/HeJ,f,192,,616
C3H/HeJ,f,193,,683
C3H/HeJ,f,194,,820
C3H/HeJ,f,195,,861
C3H/HeJ,m,00068CEBDA,,693
C3H/HeJ,m,00068CED4E,,595
C3H/HeJ,m,00068CF17E,,455
C3H/HeJ,m,00068CF8A3,,878
C3H/HeJ,m,00068CFCC0,,780
C3H/HeJ,m,00068D18C5,,518
C3H/HeJ,m,00068D1E76,,687
C3H/HeJ,m,00068D47E4,,728
C3H/HeJ,m,00068af01d,,381
C3H/HeJ,m,00068af497,,609
C3H/HeJ,m,00068af663,,802
C3H/HeJ,m,00068af725,,847
C3H/HeJ,m,00068af910,,623
C3H/HeJ,m,00068afa5c,,729
C3H/HeJ,m,00068afaeb,,889
C3H/HeJ,m,00068afc39,,711
C3H/HeJ,m,00068afc84,,455
C3H/HeJ,m,00068b0272,,820
C3H/HeJ,m,00068b04ac,,833
C3H/HeJ,m,00068b0593,,890
C3H/HeJ,m,00068b076e,,619
C3H/HeJ,m,00068b089b,,714
C3H/HeJ,m,00068b09b0,,834
C3H/HeJ,m,00068b0cb9,,694
C3H/HeJ,m,00068b1521,,630
C3H/HeJ,m,00068b1a2f,,602
C3H/HeJ,m,00068b1b79,,701
C3H/HeJ,m,00068b23ce,,820
C3H/HeJ,m,20,,749
C3H/HeJ,m,21,,857
C3H/HeJ,m,22,,885
C3H/HeJ,m,23,,966
C57BL/10J,f,00068AF188,,1182
C57BL/10J,f,00068AF559,,574
C57BL/10J,f,00068AF8F8,,804
C57BL/10J,f,00068AF9A3,,1125
C57BL/10J,f,00068AF9BD,,811
C57BL/10J,f,00068AFCD5,,973
C57BL/10J,f,00068B01C0,,1202
C57BL/10J,f,00068B0532,,692
C57BL/10J,f,00068B06DD,,1010
C57BL/10J,f,00068B080C,,567
C57BL/10J,f,00068B08B5,,888
C57BL/10J,f,00068B0F1A,,692
C57BL/10J,f,00068B0FB0,,1097
C57BL/10J,f,00068B1245,,399
C57BL/10J,f,00068B1530,,1035
C57BL/10J,f,00068B22E9,,1159
C57BL/10J,f,00068B2A40,,906
C57BL/10J,f,00068B2B7A,,905
C57BL/10J,f,00068CD5FD,,560
C57BL/10J,f,00068CD932,,908
C57BL/10J,f,00068CF9DF,,975
C57BL/10J,f,00068D0695,,888
C57BL/10J,f,00068D11F8,,798
C57BL/10J,f,00068D2DFE,,544
C57BL/10J,f,00068D4378,,902
C57BL/10J,f,00068af8d1,,1056
C57BL/10J,f,00068afeb2,,671
C57BL/10J,f,00068b0e8f,,588
C57BL/10J,f,00068b0f47,,635
C57BL/10J,f,00068b1698,,764
C57BL/10J,f,00068b19f5,,300
C57BL/10J,f,00068b1f04,,902
C57BL/10J,m,00068af117,,868
C57BL/10J,m,00068af118,,887
C57BL/10J,m,00068b003c,,733
C57BL/10J,m,00068b0360,,741
C57BL/10J,m,00068b062a,,770
C57BL/10J,m,00068b0959,,785
C57BL/10J,m,00068b0a11,,824
C57BL/10J,m,00068b0c68,,727
C57BL/10J,m,00068b0f3b,,677
C57BL/10J,m,00068b129c,,369
C57BL/10J,m,00068b1583,,849
C57BL/10J,m,00068b1a3b,,852
C57BL/10J,m,00068b1c23,,642
C57BL/10J,m,00068b2027,,825
C57BL/10J,m,00068b2120,,671
C57BL/10J,m,00068b21b9,,917
C57BL/10J,m,00068b2611,,792
C57BL/10J,m,00068b26bc,,744
C57BL/10J,m,00068b2733,,733
C57BL/10J,m,196,,266
C57BL/10J,m,197,,818
C57BL/10J,m,198,,852
C57BL/10J,m,199,,278
C57BL/10J,m,200,,898
C57BL/10J,m,201,,936
C57BL/6J,f,00068AF373,,727
C57BL/6J,f,00068afd43,,1034
C57BL/6J,f,00068b0104,,748
C57BL/6J,f,00068b053c,,566
C57BL/6J,f,00068b05ca,,1049
C57BL/6J,f,00068b0bb4,,866
C57BL/6J,f,00068b0d6b,,908
C57BL/6J,f,00068b0eca,,866
C57BL/6J,f,00068b0f28,,922
C57BL/6J,f,00068b159b,,782
C57BL/6J,f,00068b1762,,952
C57BL/6J,f,00068b1818,,1020
C57BL/6J,f,00068b1b4f,,776
C57BL/6J,f,00068b1de2,,999
C57BL/6J,f,00068b247f,,539
C57BL/6J,f,00068b264e,,908
C57BL/6J,f,00068b26df,,772
C57BL/6J,f,00068b2752,,1049
C57BL/6J,f,00068b2797,,852
C57BL/6J,f,00068b2aa4,,838
C57BL/6J,f,00068cf32a,,1180
C57BL/6J,f,00068cfcc8,,999
C57BL/6J,f,00068d0566,,790
C57BL/6J,f,00068d2c22,,699
C57BL/6J,f,204,,272
C57BL/6J,f,205,,1049
C57BL/6J,f,206,,795
C57BL/6J,f,207,,859
C57BL/6J,f,208,,999
C57BL/6J,m,00068AFCAF,,945
C57BL/6J,m,00068AFFBC,,1052
C57BL/6J,m,00068B0729,,1049
C57BL/6J,m,00068B08C8,,971
C57BL/6J,m,00068B108C,,1140
C57BL/6J,m,00068B11BF,,741
C57BL/6J,m,00068B14B2,,1059
C57BL/6J,m,00068B1892,,922
C57BL/6J,m,00068af0ee,,895
C57BL/6J,m,00068af61c,,922
C57BL/6J,m,00068b00e5,,909
C57BL/6J,m,00068b06f9,,922
C57BL/6J,m,00068b154d,,1027
C57BL/6J,m,00068b2292,,712
C57BL/6J,m,00068b2371,,733
C57BL/6J,m,00068b257c,,736
C57BL/6J,m,00068ceded,,859
C57BL/6J,m,00068d0a0d,,826
C57BL/6J,m,00069a0372,,859
C57BL/6J,m,00069a046c,,761
C57BL/6J,m,00069a060e,,929
C57BL/6J,m,00069a0ca4,,706
C57BL/6J,m,00069a224d,,929
C57BL/6J,m,00069a2aba,,859
C57BL/6J,m,209,,706
C57BL/6J,m,210,,838
C57BL/6J,m,211,,973
C57BL/6J,m,212,,1037
C57BL/6J,m,213,,897
C57BL/6J,m,214,,901
C57BL/6J,m,215,,901
C57BL/6J,m,216,,901
C57BLKS/J,f,00068B036F,,301
C57BLKS/J,f,00068B0724,,915
C57BLKS/J,f,00068B0F9C,,833
C57BLKS/J,f,00068B1157,,916
C57BLKS/J,f,00068B1881,,279
C57BLKS/J,f,00068B27EF,,867
C57BLKS/J,f,00068D3533,,826
C57BLKS/J,f,00068D4258,,917
C57BLKS/J,f,00068af089,,754
C57BLKS/J,f,00068af285,,888
C57BLKS/J,f,00068af4ff,,853
C57BLKS/J,f,00068afab3,,873
C57BLKS/J,f,00068afe86,,867
C57BLKS/J,f,00068b0352,,926
C57BLKS/J,f,00068b0d03,,924
C57BLKS/J,f,00068b2071,,593
C57BLKS/J,f,00068b2582,,888
C57BLKS/J,f,00069a0352,,860
C57BLKS/J,f,00069a0555,,869
C57BLKS/J,f,00069a0965,,853
C57BLKS/J,f,00069a1990,,980
C57BLKS/J,f,00069a2045,,574
C57BLKS/J,f,00069a29ee,,874
C57BLKS/J,f,217,,523
C57BLKS/J,f,218,,545
C57BLKS/J,f,219,,677
C57BLKS/J,f,220,,713
C57BLKS/J,f,221,,672
C57BLKS/J,f,222,,987
C57BLKS/J,f,223,,518
C57BLKS/J,f,224,,272
C57BLKS/J,f,225,,312
C57BLKS/J,m,00068af5e3,,1006
C57BLKS/J,m,00068b0674,,889
C57BLKS/J,m,00068b08f2,,971
C57BLKS/J,m,00068b0e87,,798
C57BLKS/J,m,00068b148a,,764
C57BLKS/J,m,00068b155d,,964
C57BLKS/J,m,00068b1839,,1076
C57BLKS/J,m,00068b1ce0,,936
C57BLKS/J,m,00068b1df0,,932
C57BLKS/J,m,00068b21fa,,826
C57BLKS/J,m,00068b220b,,812
C57BLKS/J,m,00068b245e,,944
C57BLKS/J,m,00068b252b,,811
C57BLKS/J,m,00068b2580,,819
C57BLKS/J,m,00068b27bb,,881
C57BLKS/J,m,226,,378
C57BLKS/J,m,227,,762
C57BLKS/J,m,228,,891
C57BLKS/J,m,229,,891
C57BLKS/J,m,230,,747
C57BLKS/J,m,231,,770
C57BLKS/J,m,232,,810
C57BLKS/J,m,233,,812
C57BLKS/J,m,234,,663
C57BLKS/J,m,235,,770
C57BLKS/J,m,236,,860
C57BLKS/J,m,237,,938
C57BLKS/J,m,238,,742
C57BLKS/J,m,239,,784
C57BLKS/J,m,240,,863
C57BLKS/J,m,241,,874
C57BR/cdJ,f,00068CDAD3,,905
C57BR/cdJ,f,00068D05A7,,933
C57BR/cdJ,f,00068D190B,,918
C57BR/cdJ,f,00068D46BB,,732
C57BR/cdJ,f,00068af129,,861
C57BR/cdJ,f,00068af8b7,,890
C57BR/cdJ,f,00068af93e,,848
C57BR/cdJ,f,00068af98d,,374
C57BR/cdJ,f,00068af9af,,983
C57BR/cdJ,f,00068afb88,,869
C57BR/cdJ,f,00068afd6a,,792
C57BR/cdJ,f,00068afe3f,,704
C57BR/cdJ,f,00068b03e0,,1025
C57BR/cdJ,f,00068b09c0,,842
C57BR/cdJ,f,00068b0ea4,,987
C57BR/cdJ,f,00068b19ca,,757
C57BR/cdJ,f,00068b1b6b,,897
C57BR/cdJ,f,00068b216d,,899
C57BR/cdJ,f,00068b2624,,875
C57BR/cdJ,f,00068cd417,,877
C57BR/cdJ,f,00068cdbde,,980
C57BR/cdJ,f,00068ce096,,980
C57BR/cdJ,f,00068cf456,,582
C57BR/cdJ,f,00068d09fa,,905
C57BR/cdJ,f,242,,321
C57BR/cdJ,f,243,,321
C57BR/cdJ,f,244,,940
C57BR/cdJ,f,245,,792
C57BR/cdJ,f,246,,805
C57BR/cdJ,f,247,,912
C57BR/cdJ,f,248,,981
C57BR/cdJ,f,249,,301
C57BR/cdJ,m,00068B0BFC,,842
C57BR/cdJ,m,00068CD9D8,,946
C57BR/cdJ,m,00068CDB50,,820
C57BR/cdJ,m,00068CED44,,907
C57BR/cdJ,m,00068CEF78,,834
C57BR/cdJ,m,00068CFA66,,848
C57BR/cdJ,m,00068D0331,,681
C57BR/cdJ,m,00068D1DA1,,933
C57BR/cdJ,m,00068af200,,865
C57BR/cdJ,m,00068afebd,,905
C57BR/cdJ,m,00068afffd,,865
C57BR/cdJ,m,00068b0152,,527
C57BR/cdJ,m,00068b086c,,659
C57BR/cdJ,m,00068b14ab,,1011
C57BR/cdJ,m,00068b2080,,933
C57BR/cdJ,m,00068b2a55,,737
C57BR/cdJ,m,250,,642
C57BR/cdJ,m,251,,754
C57BR/cdJ,m,252,,846
C57BR/cdJ,m,253,,867
C57BR/cdJ,m,254,,777
C57BR/cdJ,m,255,,943
C57BR/cdJ,m,256,,943
C57BR/cdJ,m,257,,943
C57BR/cdJ,m,258,,540
C57BR/cdJ,m,259,,660
C57BR/cdJ,m,260,,728
C57BR/cdJ,m,261,,849
C57BR/cdJ,m,262,,716
C57BR/cdJ,m,263,,984
C57BR/cdJ,m,264,,995
C57BR/cdJ,m,265,,1081
C57L/J,f,00068AFDB4,,735
C57L/J,f,00068B074E,,743
C57L/J,f,00068CDFDB,,643
C57L/J,f,00068CEB08,,735
C57L/J,f,00068CED3E,,744
C57L/J,f,00068CF2B6,,744
C57L/J,f,00068CFB04,,693
C57L/J,f,00068D14A6,,782
C57L/J,f,00068c1701,,700
C57L/J,f,00068cd5e6,,791
C57L/J,f,00068cd9e4,,686
C57L/J,f,00068cdab1,,700
C57L/J,f,00068cddcf,,714
C57L/J,f,00068cdf11,,728
C57L/J,f,00068cdf36,,737
C57L/J,f,00068ce3ac,,733
C57L/J,f,00068ceadc,,791
C57L/J,f,00068cfa29,,721
C57L/J,f,00068cfca9,,658
C57L/J,f,00068cfea3,,707
C57L/J,f,00068d0699,,714
C57L/J,f,00068d27b5,,602
C57L/J,f,00068e41fc,,706
C57L/J,f,266,,355
C57L/J,f,267,,650
C57L/J,f,268,,721
C57L/J,f,269,,735
C57L/J,f,270,,742
C57L/J,f,271,,721
C57L/J,f,272,,755
C57L/J,f,273,,784
C57L/J,f,274,,834
C57L/J,m,00068D07F9,,749
C57L/J,m,00068D3832,,755
C57L/J,m,00068afd5b,,686
C57L/J,m,00068afe98,,736
C57L/J,m,00068b0ab6,,644
C57L/J,m,00068b2137,,477
C57L/J,m,00068b279d,,749
C57L/J,m,00068cd81a,,658
C57L/J,m,00068cd8d0,,812
C57L/J,m,00068cdab0,,723
C57L/J,m,00068ce08c,,784
C57L/J,m,00068ce442,,745
C57L/J,m,00068ce506,,582
C57L/J,m,00068ce64f,,538
C57L/J,m,00068cebdd,,559
C57L/J,m,00068cef7f,,768
C57L/J,m,00068cf428,,783
C57L/J,m,00068cf6ec,,433
C57L/J,m,00068cf9f3,,602
C57L/J,m,00068cfe70,,714
C57L/J,m,00068d07ef,,728
C57L/J,m,00068d0d17,,660
C57L/J,m,00068d28c9,,752
C57L/J,m,00068d3ef0,,812
C57L/J,m,275,,658
C57L/J,m,276,,763
C57L/J,m,277,,806
C57L/J,m,278,,839
C57L/J,m,279,,728
C57L/J,m,280,,728
C57L/J,m,281,,763
C57L/J,m,282,,775
CAST/EiJ,f,00068CD826,,674
CAST/EiJ,f,00068CE182,,747
CAST/EiJ,f,00068CE60A,,748
CAST/EiJ,f,00068CE810,,810
CAST/EiJ,f,00068CFC12,,567
CAST/EiJ,f,00068D210A,,854
CAST/EiJ,f,00068D2329,,516
CAST/EiJ,f,00068EDEA0,,389
CAST/EiJ,f,000699f8e2,,854
CAST/EiJ,f,000699ffbf,,671
CAST/EiJ,f,00069A1A9D,,475
CAST/EiJ,f,00069a2c9d,,763
CAST/EiJ,f,283,,560
CBA/J,f,00068B142C,,266
CBA/J,f,00068af51a,,644
CBA/J,f,00068af6a5,,841
CBA/J,f,00068af6ac,,848
CBA/J,f,00068afa88,,708
CBA/J,f,00068b0123,,659
CBA/J,f,00068b04f6,,325
CBA/J,f,00068b05b2,,637
CBA/J,f,00068b062f,,392
CBA/J,f,00068b0728,,532
CBA/J,f,00068b0bd3,,807
CBA/J,f,00068b0df9,,693
CBA/J,f,00068b13db,,589
CBA/J,f,00068b1746,,512
CBA/J,f,00068b19a6,,609
CBA/J,f,00068b1de9,,434
CBA/J,f,00068b1e4d,,382
CBA/J,f,00068b1fbf,,714
CBA/J,f,00068b2145,,848
CBA/J,f,00068b22e4,,596
