gene_symbol,source
F13G3.7,genage_models + starter
F14B4.3,genage_models + starter
F15B9.6,genage_models + starter
F15D3.8,genage_models + starter
F19B6.1,genage_models + starter
F21H12.1,genage_models + starter
F22D3.5,genage_models + starter
F25B3.5,genage_models + starter
F26A3.4,genage_models + starter
F26E4.4,genage_models + starter
F26E4.6,genage_models + starter
F28B3.5,genage_models + starter
F33D4.5,genage_models + starter
F33H2.8,genage_models + starter
F35D2.3,genage_models + starter
F36A2.7,genage_models + starter
F37C4.4,genage_models + starter
F40F8.5,genage_models + starter
F42A6.1,genage_models + starter
F42G10.1,genage_models + starter
F45G2.8,genage_models + starter
F45H10.2,genage_models + starter
F49C12.9,genage_models + starter
F55B11.1,genage_models + starter
F55B11.3,genage_models + starter
F55B11.5,genage_models + starter
F56H1.7,genage_models + starter
F57B10.3,genage_models + starter
F58F9.7,genage_models + starter
FAR10,genage_models + starter
FAR7,genage_models + starter
FAR8,genage_models + starter
FAT1,genage_models + starter
FBP1,genage_models + starter
FCY1,genage_models + starter
FCY2,genage_models + starter
FCY21,genage_models + starter
FET3,genage_models + starter
FIG4,genage_models + starter
FIN1,genage_models + starter
FIS1,genage_models + starter
FLD1,genage_models + starter
FMC1,genage_models + starter
FMP16,genage_models + starter
FMP46,genage_models + starter
FMT1,genage_models + starter
FOB1,genage_models + starter
FOX2,genage_models + starter
FRE6,genage_models + starter
FTR1,genage_models + starter
FUM1,genage_models + starter
FUN12,genage_models + starter
FZF1,genage_models + starter
Fgf21,genage_models + starter
Fgf23,genage_models + starter
Fn1,genage_models + starter
Foxm1,genage_models + starter
Foxo1,genage_models + starter
Foxo3,genage_models + starter
Fxn,genage_models + starter
G6PD,genage_models + starter
GAL80,genage_models + starter
GAS1,genage_models + starter
GCN2,genage_models + starter
GCN4,genage_models + starter
GCN5,genage_models + starter
GDH3,genage_models + starter
GEP3,genage_models + starter
GET2,genage_models + starter
GFD2,genage_models + starter
GID7,genage_models + starter
GID8,genage_models + starter
GIN4,genage_models + starter
GIS1,genage_models + starter
GLK1,genage_models + starter
GLN3,genage_models + starter
GLaz,genage_models + starter
GMC2,genage_models + starter
GMFB,genage_models + starter
GPA2,genage_models + starter
GPB1,genage_models + starter
GPR1,genage_models + starter
GPT2,genage_models + starter
GPX2,genage_models + starter
GRE3,genage_models + starter
GSY2,genage_models + starter
GTR1,genage_models + starter
GUT2,genage_models + starter
GYP1,genage_models + starter
Gadd45,genage_models + starter
Gclc,genage_models + starter
Gclm,genage_models + starter
Gdf15,genage_models + starter
Gh,genage_models + starter
Ghr,genage_models + starter
Ghrh,genage_models + starter
Ghrhr,genage_models + starter
GlyP,genage_models + starter
GlyS,genage_models + starter
Gnmt,genage_models + starter
Gpdh,genage_models + starter
Gpx4,genage_models + starter
Gr63a,genage_models + starter
Grn,genage_models + starter
Gsk3a,genage_models + starter
GstS1,genage_models + starter
Gsta4,genage_models + starter
H06H21.8,genage_models + starter
H28O16.1,genage_models + starter
HAP3,genage_models + starter
HAP4,genage_models + starter
HAT1,genage_models + starter
HAT2,genage_models + starter
HCM1,genage_models + starter
HDA1,genage_models + starter
HDA2,genage_models + starter
HER2,genage_models + starter
HES1,genage_models + starter
HFA1,genage_models + starter
HIR1,genage_models + starter
HIR2,genage_models + starter
HIR3,genage_models + starter
HIS7,genage_models + starter
HMI1,genage_models + starter
HMT1,genage_models + starter
HNM1,genage_models + starter
HNT3,genage_models + starter
HPT1,genage_models + starter
HRB1,genage_models + starter
HRD1,genage_models + starter
HRD3,genage_models + starter
HRT3,genage_models + starter
HSE1,genage_models + starter
HSP104,genage_models + starter
HST1,genage_models + starter
HST2,genage_models + starter
HTD2,genage_models + starter
HXK2,genage_models + starter
HXT5,genage_models + starter
Hells,genage_models + starter
Hex-A,genage_models + starter
Hex-C,genage_models + starter
Hnrnpd,genage_models + starter
Hsc70-3,genage_models + starter
Hsp22,genage_models + starter
Hsp26,genage_models + starter
Hsp27,genage_models + starter
Hsp67Bc,genage_models + starter
Hsp68,genage_models + starter
Hsp70Ba,genage_models + starter
Htr1b,genage_models + starter
Htra2,genage_models + starter
Htt,genage_models + starter
IBA57,genage_models + starter
ICL1,genage_models + starter
IDH1,genage_models + starter
IDH2,genage_models + starter
IDP1,genage_models + starter
IDP2,genage_models + starter
IDP3,genage_models + starter
IKI3,genage_models + starter
IMG1,genage_models + starter
IMG2,genage_models + starter
INM1,genage_models + starter
INM2,genage_models + starter
INO4,genage_models + starter
INP51,genage_models + starter
INP53,genage_models + starter
INP54,genage_models + starter
IPK1,genage_models + starter
IPT1,genage_models + starter
ISC1,genage_models + starter
ISM1,genage_models + starter
ISW1,genage_models + starter
ISW2,genage_models + starter
ITC1,genage_models + starter
IZH3,genage_models + starter
Igf1,genage_models + starter
Igf1r,genage_models + starter
Ikbkb,genage_models + starter
Ilk,genage_models + starter
Ilp2,genage_models + starter
Ilp6,genage_models + starter
ImpL2,genage_models + starter
InR,genage_models + starter
Indy,genage_models + starter
Insr,genage_models + starter
Ire1,genage_models + starter
Irs1,genage_models + starter
Irs2,genage_models + starter
JID1,genage_models + starter
JNM1,genage_models + starter
Jafrac1,genage_models + starter
JhI-21,genage_models + starter
Jund,genage_models + starter
K01C8.7,genage_models + starter
K07H8.1,genage_models + starter
K07H8.8,genage_models + starter
K08E3.5,genage_models + starter
K10B4.3,genage_models + starter
K11B4.1,genage_models + starter
K11D12.9,genage_models + starter
K12H4.5,genage_models + starter
KAR3,genage_models + starter
KEX2,genage_models + starter
KGD1,genage_models + starter
KSS1,genage_models + starter
Kcna3,genage_models + starter
Keap1,genage_models + starter
Kl,genage_models + starter
LAG1,genage_models + starter
LAG2,genage_models + starter
LAS21,genage_models + starter
LAT1,genage_models + starter
LBR,genage_models + starter
LCB3,genage_models + starter
LCL1,genage_models + starter
LCL2,genage_models + starter
LCL3,genage_models + starter
LDB16,genage_models + starter
LDB19,genage_models + starter
LEU2,genage_models + starter
LEU3,genage_models + starter
LHS1,genage_models + starter
LIN1,genage_models + starter
LIP2,genage_models + starter
LOC1,genage_models + starter
LOS1,genage_models + starter
LPD1,genage_models + starter
LSB1,genage_models + starter
LSB3,genage_models + starter
LSB6,genage_models + starter
LSC1,genage_models + starter
LSC2,genage_models + starter
LSM6,genage_models + starter
LST7,genage_models + starter
LYS1,genage_models + starter
LYS12,genage_models + starter
LYS9,genage_models + starter
Lmna,genage_models + starter
Lnk,genage_models + starter
M05B5.2,genage_models + starter
M57.2,genage_models + starter
MAD2,genage_models + starter
MAK10,genage_models + starter
MAK3,genage_models + starter
MAL33,genage_models + starter
MBA1,genage_models + starter
MCA1,genage_models + starter
MCH5,genage_models + starter
MDH1,genage_models + starter
MDH2,genage_models + starter
MDM20,genage_models + starter
MEC1,genage_models + starter
MED1,genage_models + starter
MEP2,genage_models + starter
MEP3,genage_models + starter
MET14,genage_models + starter
MET16,genage_models + starter
MET17,genage_models + starter
MET2,genage_models + starter
MET5,genage_models + starter
MET6,genage_models + starter
MHP1,genage_models + starter
MIG1,genage_models + starter
MIR1,genage_models + starter
MIS1,genage_models + starter
MKK1,genage_models + starter
MKS1,genage_models + starter
MNE1,genage_models + starter
MNN1,genage_models + starter
MNN2,genage_models + starter
MNS1,genage_models + starter
MOH1,genage_models + starter
MON2,genage_models + starter
MPC1,genage_models + starter
MPD1,genage_models + starter
MPT5,genage_models + starter
MRE11,genage_models + starter
MRH4,genage_models + starter
MRP1,genage_models + starter
MRP2,genage_models + starter
MRP51,genage_models + starter
MRPL11,genage_models + starter
MRPL17,genage_models + starter
MRPL20,genage_models + starter
MRPL22,genage_models + starter
MRPL24,genage_models + starter
MRPL32,genage_models + starter
MRPL33,genage_models + starter
MRPL38,genage_models + starter
MRPL39,genage_models + starter
MRPL4,genage_models + starter
MRPL40,genage_models + starter
MRPL49,genage_models + starter
MRPL9,genage_models + starter
MRPS16,genage_models + starter
MRS2,genage_models + starter
MRS4,genage_models + starter
MRT4,genage_models + starter
MRX14,genage_models + starter
MSH2,genage_models + starter
MSH6,genage_models + starter
MSK1,genage_models + starter
MSS116,genage_models + starter
MSS18,genage_models + starter
MSW1,genage_models + starter
MTC1,genage_models + starter
MTC4,genage_models + starter
MTC5,genage_models + starter
MTC7,genage_models + starter
MTD1,genage_models + starter
MTF-1,genage_models + starter
MTM1,genage_models + starter
MTO1,genage_models + starter
MUB1,genage_models + starter
MUM2,genage_models + starter
MXR1,genage_models + starter
Mad,genage_models + starter
Mcm2,genage_models + starter
Men,genage_models + starter
Mgat5,genage_models + starter
Mif,genage_models + starter
Mir17,genage_models + starter
Mir29a,genage_models + starter
Mlp84B,genage_models + starter
Mnt,genage_models + starter
Mpk2,genage_models + starter
Mrp4,genage_models + starter
Msh2,genage_models + starter
Msra,genage_models + starter
Mstn,genage_models + starter
Mt1,genage_models + starter
Mt2,genage_models + starter
Mtbp,genage_models + starter
Mtor,genage_models + starter
Myc,genage_models + starter
NAM2,genage_models + starter
NAT4,genage_models + starter
NCR1,genage_models + starter
ND75,genage_models + starter
NDE1,genage_models + starter
NDE2,genage_models + starter
NDI1,genage_models + starter
NDT80,genage_models + starter
NEW1,genage_models + starter
NFU1,genage_models + starter
NIP100,genage_models + starter
NLaz,genage_models + starter
NMA111,genage_models + starter
NMD2,genage_models + starter
NMD4,genage_models + starter
NMT1,genage_models + starter
NNK1,genage_models + starter
NPF,genage_models + starter
NPL3,genage_models + starter
NPT1,genage_models + starter
NRK1,genage_models + starter
NSR1,genage_models + starter
NST1,genage_models + starter
NTH1,genage_models + starter
NUDT1,genage_models + starter
NUP170,genage_models + starter
NYV1,genage_models + starter
Naam,genage_models + starter
Nampt,genage_models + starter
Ncor2,genage_models + starter
Neil1,genage_models + starter
Nf1,genage_models + starter
Nfe2l2,genage_models + starter
Nfkb1,genage_models + starter
Nmdmc,genage_models + starter
Nos3,genage_models + starter
OM45,genage_models + starter
OMA1,genage_models + starter
OPI3,genage_models + starter
OPT2,genage_models + starter
OSH2,genage_models + starter
OSH6,genage_models + starter
OST3,genage_models + starter
OTC,genage_models + starter
Orco,genage_models + starter
PAA1,genage_models + starter
PAC10,genage_models + starter
PAU2,genage_models + starter
PCA1,genage_models + starter
PCH2,genage_models + starter
PCK1,genage_models + starter
PCL6,genage_models + starter
PCL7,genage_models + starter
PCP1,genage_models + starter
PDA1,genage_models + starter
PDC1,genage_models + starter
PDE2,genage_models + starter
PDR18,genage_models + starter
PDX3,genage_models + starter
PEP12,genage_models + starter
PET111,genage_models + starter
PET112,genage_models + starter
PET117,genage_models + starter
PET127,genage_models + starter
PET309,genage_models + starter
PET9,genage_models + starter
PEX14,genage_models + starter
PEX2,genage_models + starter
PEX25,genage_models + starter
PEX5,genage_models + starter
PEX6,genage_models + starter
PFA3,genage_models + starter
PFA5,genage_models + starter
PGA3,genage_models + starter
PHB1,genage_models + starter
PHB2,genage_models + starter
PHD1,genage_models + starter
PHO2,genage_models + starter
PHO23,genage_models + starter
PHO84,genage_models + starter
PHO85,genage_models + starter
PHO89,genage_models + starter
PIB1,genage_models + starter
PIM1,genage_models + starter
PIN3,genage_models + starter
PKH1,genage_models + starter
PKH2,genage_models + starter
PKH3,genage_models + starter
PMP1,genage_models + starter
PMP3,genage_models + starter
PMR1,genage_models + starter
PMS1,genage_models + starter
PMT1,genage_models + starter
PMT5,genage_models + starter
PMT7,genage_models + starter
PNC1,genage_models + starter
PNT1,genage_models + starter
PODANSg7134,genage_models + starter
POG1,genage_models + starter
POSH,genage_models + starter
PPA2,genage_models + starter
PPH3,genage_models + starter
PPZ1,genage_models + starter
PRE9,genage_models + starter
PRK1,genage_models + starter
PRS3,genage_models + starter
PRX1,genage_models + starter
PRY1,genage_models + starter
PSD1,genage_models + starter
PST2,genage_models + starter
PTC5,genage_models + starter
PTH1,genage_models + starter
PTK2,genage_models + starter
PUB1,genage_models + starter
PUN1,genage_models + starter
PXL1,genage_models + starter
Pappa,genage_models + starter
Parp1,genage_models + starter
Pawr,genage_models + starter
Pck1,genage_models + starter
Pcmt,genage_models + starter
Per2,genage_models + starter
Pex16,genage_models + starter
Pgam5,genage_models + starter
Pi3K92E,genage_models + starter
Pink1,genage_models + starter
Pka-C1,genage_models + starter
Plau,genage_models + starter
Polg,genage_models + starter
Pou1f1,genage_models + starter
Pparg,genage_models + starter
Ppm1d,genage_models + starter
Prdx1,genage_models + starter
Prkaa1,genage_models + starter
Prkaa2,genage_models + starter
Prkar2b,genage_models + starter
Prop1,genage_models + starter
Prp19,genage_models + starter
Prx5,genage_models + starter
Pten,genage_models + starter
QCR7,genage_models + starter
QCR8,genage_models + starter
QRI5,genage_models + starter
R07E4.3,genage_models + starter
R08E3.3,genage_models + starter
R10H10.7,genage_models + starter
R12B2.6,genage_models + starter
R12E2.2,genage_models + starter
R53.4,genage_models + starter
RAD10,genage_models + starter
RAD27,genage_models + starter
RAD34,genage_models + starter
RAD4,genage_models + starter
RAD50,genage_models + starter
RAD51,genage_models + starter
RAD52,genage_models + starter
RAD55,genage_models + starter
RAD57,genage_models + starter
RAD9,genage_models + starter
RAS1,genage_models + starter
RAS2,genage_models + starter
RAV1,genage_models + starter
RCM1,genage_models + starter
RCR2,genage_models + starter
RCY1,genage_models + starter
REC8,genage_models + starter
REG1,genage_models + starter
REI1,genage_models + starter
RFX1,genage_models + starter
RGS2,genage_models + starter
RGT1,genage_models + starter
RGT2,genage_models + starter
RHO5,genage_models + starter
RIF1,genage_models + starter
RIM1,genage_models + starter
RIM11,genage_models + starter
RIM15,genage_models + starter
RIM8,genage_models + starter
RIP1,genage_models + starter
RKR1,genage_models + starter
RLM1,genage_models + starter
RMD8,genage_models + starter
RMD9,genage_models + starter
RNH201,genage_models + starter
RNR3,genage_models + starter
ROM2,genage_models + starter
ROY1,genage_models + starter
RPD3,genage_models + starter
RPL10,genage_models + starter
RPL12A,genage_models + starter
RPL12B,genage_models + starter
RPL13A,genage_models + starter
RPL13B,genage_models + starter
RPL16B,genage_models + starter
RPL17B,genage_models + starter
RPL19A,genage_models + starter
RPL19B,genage_models + starter
RPL1B,genage_models + starter
RPL20A,genage_models + starter
RPL20B,genage_models + starter
RPL21A,genage_models + starter
RPL21B,genage_models + starter
RPL22A,genage_models + starter
RPL23A,genage_models + starter
RPL26A,genage_models + starter
RPL29,genage_models + starter
RPL2B,genage_models + starter
RPL31A,genage_models + starter
RPL33B,genage_models + starter
RPL34A,genage_models + starter
RPL34B,genage_models + starter
RPL35A,genage_models + starter
RPL35B,genage_models + starter
RPL37A,genage_models + starter
RPL37B,genage_models + starter
RPL39,genage_models + starter
RPL43A,genage_models + starter
RPL43B,genage_models + starter
RPL4A,genage_models + starter
RPL6A,genage_models + starter
RPL6B,genage_models + starter
RPL7A,genage_models + starter
RPL8B,genage_models + starter
RPL9A,genage_models + starter
RPL9B,genage_models + starter
RPN4,genage_models + starter
RPO31,genage_models + starter
RPO41,genage_models + starter
RPP1A,genage_models + starter
RPP1B,genage_models + starter
RPP2A,genage_models + starter
RPP2B,genage_models + starter
RPS0B,genage_models + starter
RPS10B,genage_models + starter
RPS11A,genage_models + starter
RPS12,genage_models + starter
RPS17A,genage_models + starter
RPS18A,genage_models + starter
RPS18B,genage_models + starter
RPS1B,genage_models + starter
RPS21B,genage_models + starter
RPS24A,genage_models + starter
RPS24B,genage_models + starter
RPS26B,genage_models + starter
RPS27A,genage_models + starter
RPS27B,genage_models + starter
RPS4A,genage_models + starter
RPS4B,genage_models + starter
RPS6A,genage_models + starter
RPS6B,genage_models + starter
RPS7A,genage_models + starter
RPT1,genage_models + starter
RPT2,genage_models + starter
RPT3,genage_models + starter
RPT5,genage_models + starter
RPT6,genage_models + starter
RRD2,genage_models + starter
RRG1,genage_models + starter
RRG7,genage_models + starter
RRG8,genage_models + starter
RRG9,genage_models + starter
RRM3,genage_models + starter
RRP8,genage_models + starter
RRT12,genage_models + starter
RSF2,genage_models + starter
RSM18,genage_models + starter
RSM24,genage_models + starter
RTC2,genage_models + starter
RTC6,genage_models + starter
RTG1,genage_models + starter
RTG2,genage_models + starter
RTG3,genage_models + starter
RTN1,genage_models + starter
RTT10,genage_models + starter
RTT107,genage_models + starter
RVS161,genage_models + starter
RXT2,genage_models + starter
Rae1,genage_models + starter
Rbm38,genage_models + starter
Rbp9,genage_models + starter
Rdh,genage_models + starter
Rictor,genage_models + starter
RpIIIC53,genage_models + starter
Rpd3,genage_models + starter
Rpi,genage_models + starter
Rps6kb1,genage_models + starter
S6k,genage_models + starter
SAC1,genage_models + starter
SAC6,genage_models + starter
SAG1,genage_models + starter
SAK1,genage_models + starter
SAL1,genage_models + starter
SAM1,genage_models + starter
SAP30,genage_models + starter
SAS3,genage_models + starter
SAS4,genage_models + starter
SCH9,genage_models + starter
SCJ1,genage_models + starter
SCP1,genage_models + starter
SCP160,genage_models + starter
SDH1,genage_models + starter
SDH2,genage_models + starter
SDH5,genage_models + starter
SDP1,genage_models + starter
SDS23,genage_models + starter
SDS3,genage_models + starter
SEC28,genage_models + starter
SEC66,genage_models + starter
SEG2,genage_models + starter
SET1,genage_models + starter
SET2,genage_models + starter
SET3,genage_models + starter
SFL1,genage_models + starter
SGF11,genage_models + starter
SGF29,genage_models + starter
SGF73,genage_models + starter
SGS1,genage_models + starter
SGT2,genage_models + starter
SHG1,genage_models + starter
SHM1,genage_models + starter
SHM2,genage_models + starter
SHY1,genage_models + starter
SIC1,genage_models + starter
SIF2,genage_models + starter
SIP1,genage_models + starter
SIP18,genage_models + starter
