gene,systems
2210408I21Rik,adipose tissue|growth/size/body region|homeostasis/metabolism|nervous system|renal/urinary system|reproductive system|skeleton
2300002M23Rik,adipose tissue|growth/size/body region
2310011J03Rik,embryo|growth/size/body region|integument
2310022B05Rik,behavior/neurological|hematopoietic system|immune system
2310039L15Rik,behavior/neurological|cellular|muscle|nervous system
2310061I04Rik,
2310065F04Rik,cellular|growth/size/body region|muscle
2500002B13Rik,cardiovascular system|cellular|homeostasis/metabolism|muscle
2510002D24Rik,endocrine/exocrine gland|normal|reproductive system
2510009E07Rik,cardiovascular system|craniofacial|endocrine/exocrine gland|growth/size/body region|integument|renal/urinary system|vision/eye
2610005L07Rik,cardiovascular system|cellular|craniofacial|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|muscle|reproductive system|respiratory system|skeleton
2610008E11Rik,growth/size/body region|integument|liver/biliary system|renal/urinary system|vision/eye
2610028H24Rik,vision/eye
2610035D17Rik,endocrine/exocrine gland|neoplasm
2610318N02Rik,homeostasis/metabolism
26Sor,adipose tissue|behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|muscle|neoplasm|nervous system|normal|pigmentation|renal/urinary system|reproductive system|respiratory system|skeleton|taste/olfaction|vision/eye
2700049A03Rik,cardiovascular system|cellular|craniofacial|embryo|growth/size/body region|homeostasis/metabolism|limbs/digits/tail|nervous system|skeleton
2700054A10Rik,behavior/neurological|homeostasis/metabolism|vision/eye
2810408A11Rik,behavior/neurological|cardiovascular system|growth/size/body region|hematopoietic system|immune system|skeleton
2900026A02Rik,vision/eye
2900092C05Rik,normal
3425401B19Rik,behavior/neurological|cardiovascular system|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|muscle
3930402G23Rik,homeostasis/metabolism|liver/biliary system
4,cellular|endocrine/exocrine gland|reproductive system
4833411C07Rik,homeostasis/metabolism
4833420G17Rik,growth/size/body region|reproductive system|vision/eye
4921509C19Rik,hematopoietic system|homeostasis/metabolism
4921536K21Rik,adipose tissue|behavior/neurological
4921539E11Rik,normal
4930404H24Rik,hematopoietic system|homeostasis/metabolism
4930444P10Rik,
4930447C04Rik,adipose tissue|behavior/neurological|cellular|endocrine/exocrine gland|growth/size/body region|reproductive system|skeleton
4930453N24Rik,craniofacial|growth/size/body region|hearing/vestibular/ear|integument|pigmentation|skeleton
4930463O16Rik,cellular|reproductive system
4930522H14Rik,normal
4930524B15Rik,endocrine/exocrine gland|liver/biliary system
4930558K02Rik,integument
4930563E22Rik,behavior/neurological|homeostasis/metabolism
4930567H17Rik,cellular|reproductive system
4930568D16Rik,reproductive system
4930579F01Rik,behavior/neurological
4930590J08Rik,cellular|endocrine/exocrine gland|reproductive system
4930591A17Rik,adipose tissue|growth/size/body region|hematopoietic system|skeleton
4931414P19Rik,endocrine/exocrine gland|homeostasis/metabolism
4931422A03Rik,cardiovascular system|growth/size/body region|hematopoietic system|immune system
4931429L15Rik,homeostasis/metabolism
4933402J07Rik,behavior/neurological|homeostasis/metabolism
4933402N03Rik,craniofacial|hematopoietic system|homeostasis/metabolism|integument|skeleton
4933411K16Rik,homeostasis/metabolism
4933425B07Rik,renal/urinary system
4933427D14Rik,embryo|growth/size/body region
4933428G20Rik,homeostasis/metabolism|skeleton
4933430I17Rik,cardiovascular system|endocrine/exocrine gland|hematopoietic system|homeostasis/metabolism|limbs/digits/tail|muscle|skeleton
4933436I01Rik,reproductive system
5031439G07Rik,nervous system
5430431A17Rik,cardiovascular system|growth/size/body region|muscle
5730403I07Rik,hematopoietic system|immune system|neoplasm
6030468B19Rik,normal
6430548M08Rik,growth/size/body region|homeostasis/metabolism|immune system|renal/urinary system
6820408C15Rik,digestive/alimentary
7630403G23Rik,behavior/neurological|growth/size/body region|homeostasis/metabolism|nervous system|normal|reproductive system
9030622O22Rik,homeostasis/metabolism|immune system|respiratory system
917M,cellular|limbs/digits/tail|skeleton
9430015G10Rik,behavior/neurological|hematopoietic system|immune system
9630013A20Rik,cellular|nervous system
9930012K11Rik,integument|vision/eye
A,adipose tissue|behavior/neurological|cardiovascular system|cellular|craniofacial|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|neoplasm|normal|pigmentation|renal/urinary system|skeleton|vision/eye
A1cf,behavior/neurological|cardiovascular system|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|nervous system|normal|renal/urinary system|reproductive system|respiratory system
A2ml1,hematopoietic system|immune system|skeleton
A3galt2,normal
A430005L14Rik,adipose tissue|growth/size/body region|skeleton
A4galt,behavior/neurological|homeostasis/metabolism
A4gnt,cardiovascular system|cellular|digestive/alimentary|immune system|neoplasm
A830018L16Rik,homeostasis/metabolism
A830031A19Rik,behavior/neurological
A930024E05Rik,hematopoietic system|immune system
AA986860,hearing/vestibular/ear|renal/urinary system|vision/eye
AB124611,cardiovascular system|renal/urinary system|reproductive system
AI467606,homeostasis/metabolism
AU021092,behavior/neurological|cardiovascular system|growth/size/body region|homeostasis/metabolism|renal/urinary system
AU040320,adipose tissue|behavior/neurological|cellular|growth/size/body region|immune system|integument|pigmentation|reproductive system|skeleton|vision/eye
AW112010,digestive/alimentary|homeostasis/metabolism|immune system
Aaas,behavior/neurological|growth/size/body region|reproductive system
Aabpr,cellular|hematopoietic system|immune system
Aacs,behavior/neurological
Aadac,endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|renal/urinary system|vision/eye
Aadat,behavior/neurological|nervous system|vision/eye
Aaj1,behavior/neurological
Aaj2,behavior/neurological
Aaj3,behavior/neurological
Aaj4,behavior/neurological
Aak1,behavior/neurological|cardiovascular system|hearing/vestibular/ear|homeostasis/metabolism|limbs/digits/tail|nervous system|skeleton|vision/eye
Aamp,
Aanat,endocrine/exocrine gland|nervous system
Aaom1,cardiovascular system
Aap,behavior/neurological
Aaq1,behavior/neurological
Aars1,behavior/neurological|cardiovascular system|cellular|growth/size/body region|homeostasis/metabolism|integument|muscle|nervous system
Aars2,behavior/neurological|cardiovascular system|embryo|growth/size/body region|hematopoietic system|immune system|normal|vision/eye
Aasdh,homeostasis/metabolism|skeleton|vision/eye
Aasdhppt,behavior/neurological|homeostasis/metabolism|pigmentation|vision/eye
Aass,growth/size/body region|immune system|renal/urinary system|skeleton
Aatf,behavior/neurological|cellular|embryo|growth/size/body region|reproductive system
Aatk,nervous system
Abat,cellular|hematopoietic system|immune system
Abbp1,cardiovascular system
Abbp2,cardiovascular system
Abbp3,cardiovascular system
Abbp4,cardiovascular system
Abca1,cardiovascular system|cellular|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|nervous system|renal/urinary system|reproductive system|respiratory system|skeleton|vision/eye
Abca12,behavior/neurological|cardiovascular system|cellular|craniofacial|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|integument|respiratory system
Abca13,cardiovascular system|cellular|homeostasis/metabolism|nervous system|reproductive system|vision/eye
Abca16,behavior/neurological|homeostasis/metabolism|vision/eye
Abca17,homeostasis/metabolism
Abca2,behavior/neurological|growth/size/body region|homeostasis/metabolism|integument|nervous system|reproductive system|skeleton
Abca3,behavior/neurological|cardiovascular system|homeostasis/metabolism|respiratory system
Abca4,cardiovascular system|hematopoietic system|homeostasis/metabolism|nervous system|pigmentation|skeleton|vision/eye
Abca5,behavior/neurological|cardiovascular system|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|muscle|renal/urinary system|vision/eye
Abca6,hematopoietic system|homeostasis/metabolism
Abca7,adipose tissue|behavior/neurological|homeostasis/metabolism|renal/urinary system
Abca8a,hematopoietic system|integument
Abca8b,homeostasis/metabolism
Abca9,behavior/neurological
Abcb10,cardiovascular system|cellular|embryo|hematopoietic system|homeostasis/metabolism|integument|liver/biliary system
Abcb11,behavior/neurological|cardiovascular system|growth/size/body region|homeostasis/metabolism|liver/biliary system|muscle|respiratory system|vision/eye
Abcb1a,behavior/neurological|cardiovascular system|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|nervous system
Abcb1b,hematopoietic system|homeostasis/metabolism|immune system|nervous system
Abcb4,cardiovascular system|cellular|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|neoplasm|reproductive system|skeleton
Abcb5,cellular|homeostasis/metabolism|nervous system|pigmentation|vision/eye
Abcb6,cellular|hematopoietic system|homeostasis/metabolism|integument
Abcb7,cardiovascular system|cellular|embryo|growth/size/body region|homeostasis/metabolism|liver/biliary system
Abcb8,cardiovascular system|cellular|growth/size/body region|homeostasis/metabolism|muscle
Abcb9,behavior/neurological|endocrine/exocrine gland|immune system|nervous system
Abcc1,cellular|hematopoietic system|homeostasis/metabolism|immune system|nervous system
Abcc10,endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|skeleton
Abcc2,endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|renal/urinary system
Abcc3,behavior/neurological|homeostasis/metabolism
Abcc4,behavior/neurological|cardiovascular system|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|nervous system|renal/urinary system
Abcc5,behavior/neurological|hematopoietic system|homeostasis/metabolism|immune system
Abcc6,cardiovascular system|craniofacial|growth/size/body region|homeostasis/metabolism|integument|renal/urinary system|vision/eye
Abcc8,cardiovascular system|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|muscle
Abcc9,cardiovascular system|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|muscle|nervous system
Abcd1,behavior/neurological|cellular|endocrine/exocrine gland|hematopoietic system|homeostasis/metabolism|immune system|nervous system|normal|reproductive system|vision/eye
Abcd2,behavior/neurological|cellular|endocrine/exocrine gland|hematopoietic system|homeostasis/metabolism|immune system|nervous system
Abcd3,adipose tissue|behavior/neurological|cellular|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|integument|liver/biliary system|pigmentation|skeleton
Abcd4,behavior/neurological
Abce1,endocrine/exocrine gland|hematopoietic system|homeostasis/metabolism|immune system|nervous system|reproductive system|vision/eye
Abcf1,
Abcg1,adipose tissue|behavior/neurological|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|respiratory system|skeleton
Abcg2,cellular|digestive/alimentary|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|nervous system|normal|renal/urinary system|vision/eye
Abcg4,homeostasis/metabolism
Abcg5,adipose tissue|behavior/neurological|cardiovascular system|cellular|digestive/alimentary|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|reproductive system
Abcg8,adipose tissue|behavior/neurological|cardiovascular system|cellular|digestive/alimentary|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|reproductive system|respiratory system|vision/eye
Abfp4,adipose tissue
Abfp5,adipose tissue
Abhd10,hematopoietic system|immune system|reproductive system
Abhd11,adipose tissue|behavior/neurological|digestive/alimentary|growth/size/body region|homeostasis/metabolism|renal/urinary system|vision/eye
Abhd12,behavior/neurological|cellular|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|muscle|nervous system
Abhd12b,homeostasis/metabolism
Abhd13,behavior/neurological|hematopoietic system|immune system|vision/eye
Abhd14a,homeostasis/metabolism
Abhd14b,behavior/neurological
Abhd15,behavior/neurological|vision/eye
Abhd16a,adipose tissue|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|nervous system|reproductive system
Abhd17a,homeostasis/metabolism|nervous system
Abhd17b,behavior/neurological|vision/eye
Abhd17c,behavior/neurological|cardiovascular system|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|renal/urinary system|vision/eye
Abhd2,cardiovascular system|cellular|endocrine/exocrine gland|homeostasis/metabolism|reproductive system
Abhd4,behavior/neurological|homeostasis/metabolism
Abhd5,cardiovascular system|cellular|craniofacial|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|muscle|reproductive system|skeleton
Abhd6,adipose tissue|behavior/neurological|cellular|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|liver/biliary system|muscle|vision/eye
Abhd8,adipose tissue|behavior/neurological|growth/size/body region|homeostasis/metabolism
Abi1,cardiovascular system|cellular|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|muscle|nervous system
Abi2,behavior/neurological|cellular|endocrine/exocrine gland|hematopoietic system|homeostasis/metabolism|immune system|nervous system|pigmentation|renal/urinary system|reproductive system|vision/eye
Abi3bp,behavior/neurological|cardiovascular system|cellular|craniofacial|growth/size/body region|hematopoietic system|homeostasis/metabolism|muscle|skeleton
Abitram,cardiovascular system|muscle|skeleton|vision/eye
Abl1,behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|nervous system|normal|respiratory system|skeleton|vision/eye
Abl2,behavior/neurological|cardiovascular system|cellular|embryo|growth/size/body region|homeostasis/metabolism|nervous system|reproductive system
Ablim1,normal
Ablim2,behavior/neurological
Ablim3,behavior/neurological|growth/size/body region|hematopoietic system|immune system|vision/eye
Ablp,homeostasis/metabolism
Abmm,cardiovascular system|immune system
Abo,endocrine/exocrine gland|integument|reproductive system
Abr,behavior/neurological|cellular|hearing/vestibular/ear|nervous system|normal
Abra,cardiovascular system|homeostasis/metabolism
Abraxas1,cellular|homeostasis/metabolism|neoplasm|respiratory system
Abshq1,cellular|reproductive system
Abshq2,cellular|reproductive system
Abshq3,cellular|reproductive system
Abshq4,cellular|reproductive system
Abshq5,cellular|reproductive system
Abshq6,cellular|reproductive system
Abshq7,cellular|reproductive system
Abtb1,cardiovascular system|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument
Abtb2,hematopoietic system|immune system|liver/biliary system
Abtb3,behavior/neurological|nervous system
Aby,limbs/digits/tail
Acaa1b,normal
Acaca,cellular|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system
Acacb,adipose tissue|behavior/neurological|cardiovascular system|cellular|growth/size/body region|homeostasis/metabolism|integument|liver/biliary system|muscle|normal
Acad10,hematopoietic system|immune system
Acad11,behavior/neurological|cardiovascular system|hearing/vestibular/ear
Acad12,homeostasis/metabolism
Acad8,adipose tissue|cellular|homeostasis/metabolism|liver/biliary system|renal/urinary system
Acad9,behavior/neurological|cardiovascular system|cellular|homeostasis/metabolism|muscle
Acadl,cardiovascular system|cellular|endocrine/exocrine gland|homeostasis/metabolism|liver/biliary system|renal/urinary system|reproductive system
Acadm,cardiovascular system|homeostasis/metabolism|integument|limbs/digits/tail|liver/biliary system|muscle|skeleton
Acads,behavior/neurological|cellular|homeostasis/metabolism|integument|liver/biliary system|muscle|renal/urinary system
Acadsb,behavior/neurological|craniofacial|growth/size/body region|integument|pigmentation|vision/eye
Acadvl,adipose tissue|behavior/neurological|cardiovascular system|cellular|growth/size/body region|homeostasis/metabolism|liver/biliary system|muscle|neoplasm
Acan,behavior/neurological|cardiovascular system|craniofacial|digestive/alimentary|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|limbs/digits/tail|liver/biliary system|muscle|neoplasm|nervous system|normal|respiratory system|skeleton
Acap1,homeostasis/metabolism
Acap2,behavior/neurological
Acap3,growth/size/body region
Acat1,behavior/neurological
Acat2,embryo|growth/size/body region|homeostasis/metabolism
Acbd3,behavior/neurological|growth/size/body region|hematopoietic system|homeostasis/metabolism|renal/urinary system
Acbd5,adipose tissue|behavior/neurological|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|nervous system|reproductive system|skeleton|vision/eye
Acc,vision/eye
Acd,behavior/neurological|cellular|craniofacial|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|integument|limbs/digits/tail|neoplasm|pigmentation|renal/urinary system|reproductive system
Ace,adipose tissue|behavior/neurological|cardiovascular system|cellular|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|neoplasm|renal/urinary system|reproductive system
Ace2,adipose tissue|cardiovascular system|cellular|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|muscle|pigmentation|renal/urinary system|reproductive system|respiratory system|vision/eye
Acer1,adipose tissue|behavior/neurological|cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|vision/eye
Acer2,homeostasis/metabolism|integument|normal
Acer3,behavior/neurological|homeostasis/metabolism|nervous system|normal
Ache,adipose tissue|behavior/neurological|cardiovascular system|craniofacial|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|muscle|nervous system|reproductive system|respiratory system|vision/eye
Ackr1,homeostasis/metabolism|immune system|skeleton
Ackr2,immune system|integument
Ackr3,behavior/neurological|cardiovascular system|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|muscle|respiratory system|vision/eye
Ackr4,cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|normal
Acla1,immune system
Acla2,immune system
Acly,
Acmsd,behavior/neurological|hematopoietic system|homeostasis/metabolism|skeleton|vision/eye
Acnat2,behavior/neurological
Aco1,hematopoietic system|homeostasis/metabolism|normal|vision/eye
Aco2,
Acod1,behavior/neurological|hematopoietic system|immune system
Acot11,adipose tissue|behavior/neurological|cellular|growth/size/body region|homeostasis/metabolism|immune system|liver/biliary system
Acot12,behavior/neurological|cardiovascular system|homeostasis/metabolism|liver/biliary system|muscle|neoplasm
Acot13,adipose tissue|behavior/neurological|digestive/alimentary|growth/size/body region|homeostasis/metabolism|liver/biliary system
Acot2,hematopoietic system
Acot3,behavior/neurological|growth/size/body region|renal/urinary system|vision/eye
Acot4,renal/urinary system
Acot5,hematopoietic system|homeostasis/metabolism
Acot6,normal
Acot7,adipose tissue|behavior/neurological|cellular|growth/size/body region|homeostasis/metabolism|liver/biliary system|nervous system
Acot8,growth/size/body region
Acox1,cellular|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|immune system|liver/biliary system|neoplasm|reproductive system
Acox2,endocrine/exocrine gland|immune system|liver/biliary system|neoplasm
Acox3,homeostasis/metabolism|vision/eye
Acoxl,cardiovascular system|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|vision/eye
Acp1,cardiovascular system|cellular|growth/size/body region|homeostasis/metabolism|immune system|muscle
Acp2,behavior/neurological|cellular|growth/size/body region|hematopoietic system|immune system|integument|nervous system|renal/urinary system|skeleton
Acp3,behavior/neurological|endocrine/exocrine gland|neoplasm|reproductive system
Acp4,craniofacial|growth/size/body region|skeleton
Acp5,hematopoietic system|immune system|limbs/digits/tail|skeleton
Acp6,normal
Acr,cellular|normal|reproductive system
Acrbp,cellular|reproductive system
Acsbg1,endocrine/exocrine gland|homeostasis/metabolism|reproductive system
Acsbg2,behavior/neurological|normal|skeleton
Acsf2,behavior/neurological|hematopoietic system|normal
Acsf3,homeostasis/metabolism
Acsl1,adipose tissue|cellular|growth/size/body region|homeostasis/metabolism
Acsl3,growth/size/body region|hematopoietic system|immune system
Acsl4,cardiovascular system|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|limbs/digits/tail|normal|reproductive system|skeleton
Acsl5,cardiovascular system|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|skeleton|vision/eye
Acsl6,behavior/neurological|cellular|hematopoietic system|homeostasis/metabolism|immune system|nervous system
Acsm1,behavior/neurological|cardiovascular system|hematopoietic system|immune system
Acsm2,homeostasis/metabolism|integument
Acsm3,normal
Acsm4,behavior/neurological|craniofacial|growth/size/body region|nervous system|respiratory system|taste/olfaction
Acsns1,immune system
Acsns2,immune system
Acsns3,immune system
Acss1,behavior/neurological|cellular|growth/size/body region|homeostasis/metabolism
Acss2,cellular|homeostasis/metabolism|immune system|renal/urinary system
Acta1,adipose tissue|behavior/neurological|craniofacial|growth/size/body region|homeostasis/metabolism|liver/biliary system|muscle|reproductive system|skeleton|vision/eye
Acta2,cardiovascular system|hematopoietic system|immune system|muscle|vision/eye
Actb,adipose tissue|behavior/neurological|cardiovascular system|cellular|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|muscle|neoplasm|nervous system|normal|reproductive system
Actc1,cardiovascular system|cellular|growth/size/body region|homeostasis/metabolism|muscle|normal
Actc1dt,cardiovascular system|growth/size/body region|homeostasis/metabolism|muscle
Actd1,behavior/neurological
Actd2,behavior/neurological
Actd3,behavior/neurological
Actd4,behavior/neurological
Actg1,behavior/neurological|cardiovascular system|craniofacial|embryo|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|integument|muscle|nervous system|vision/eye
Actg2,digestive/alimentary|homeostasis/metabolism|integument|renal/urinary system|vision/eye
Actl10,homeostasis/metabolism
Actl6a,behavior/neurological|cellular|hematopoietic system|homeostasis/metabolism|immune system
Actl6b,behavior/neurological|hearing/vestibular/ear|nervous system|reproductive system
Actl7a,cellular|reproductive system
Actl7b,cellular|endocrine/exocrine gland|renal/urinary system|reproductive system
Actl9,cellular|reproductive system
Actmap,behavior/neurological|cellular|muscle
Actn2,cardiovascular system|cellular|muscle
Actn3,homeostasis/metabolism|muscle
Actn4,cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|muscle|neoplasm|nervous system|renal/urinary system|respiratory system|skeleton|vision/eye
Actr2,
Actr3,embryo
Actr3b,behavior/neurological
Actr5,behavior/neurological|embryo|growth/size/body region|nervous system
Actr6,homeostasis/metabolism
Actr8,behavior/neurological|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism
Actre1,behavior/neurological
Actre2,behavior/neurological
Actre5,behavior/neurological
Actre6,behavior/neurological
Actrt1,cellular|reproductive system
Actrt3,behavior/neurological|cardiovascular system|integument|vision/eye
Acvr1,behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|immune system|limbs/digits/tail|muscle|neoplasm|nervous system|skeleton
Acvr1b,cellular|craniofacial|embryo|endocrine/exocrine gland|growth/size/body region|immune system|integument|nervous system|normal|reproductive system|respiratory system|skeleton
Acvr1c,adipose tissue|behavior/neurological|cardiovascular system|growth/size/body region|normal
Acvr2a,behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|nervous system|pigmentation|reproductive system|respiratory system|skeleton|vision/eye
Acvr2b,cardiovascular system|cellular|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|renal/urinary system|respiratory system|skeleton
Acvrl1,cardiovascular system|craniofacial|digestive/alimentary|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|liver/biliary system|muscle|nervous system|normal|respiratory system
Acy1,behavior/neurological|cardiovascular system|homeostasis/metabolism|integument|pigmentation
Acy3,hematopoietic system|homeostasis/metabolism
Acyp1,growth/size/body region|homeostasis/metabolism
Ad,adipose tissue|growth/size/body region|homeostasis/metabolism|liver/biliary system
Ada,cardiovascular system|cellular|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|normal|renal/urinary system|reproductive system|respiratory system|skeleton
Adad1,cellular|homeostasis/metabolism|reproductive system
Adad2,behavior/neurological|cellular|endocrine/exocrine gland|homeostasis/metabolism|reproductive system
Adam10,cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|nervous system|normal|pigmentation|reproductive system|skeleton
Adam11,behavior/neurological
Adam12,adipose tissue|cardiovascular system|muscle|vision/eye
Adam15,cardiovascular system|neoplasm|vision/eye
Adam17,cardiovascular system|cellular|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|muscle|nervous system|normal|pigmentation|reproductive system|respiratory system|skeleton|vision/eye
Adam18,behavior/neurological|normal
Adam19,cardiovascular system|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|muscle
Adam1a,cellular|reproductive system
Adam1b,normal
Adam2,cellular|reproductive system
Adam20,behavior/neurological
Adam21,normal
Adam22,behavior/neurological|cellular|growth/size/body region|limbs/digits/tail|nervous system
Adam23,behavior/neurological|craniofacial|growth/size/body region|nervous system|skeleton
Adam24,reproductive system
Adam26a,endocrine/exocrine gland|homeostasis/metabolism|reproductive system|respiratory system
Adam28,hematopoietic system|immune system|neoplasm
Adam29,growth/size/body region|homeostasis/metabolism|immune system|liver/biliary system
Adam3,reproductive system
